T,CL,CD,Lift(N),Drag(N),Vinf,alpha(eff),vVehicle_x,vVehicle_y,vVehicle_z,phi,theta,psi 
0.003,0.09726162598905397,0.006830513847487709,0.09726162598905397,0.006830513847487709,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.09598092539230378,0.006837406614485395,0.09598092539230378,0.006837406614485395,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.09475637171833766,0.006842535257657525,0.09475637171833766,0.006842535257657525,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.09366077134009547,0.006845108936719589,0.09366077134009547,0.006845108936719589,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.09274581717961818,0.006845458774626467,0.09274581717961818,0.006845458774626467,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.09206904490219694,0.006843981800922111,0.09206904490219694,0.006843981800922111,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009000000000000001,0.09163851769962121,0.006840184748026795,0.09163851769962121,0.006840184748026795,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010000000000000002,0.09154602569868546,0.006832868189338895,0.09154602569868546,0.006832868189338895,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011000000000000003,0.0918900962439814,0.006821799677730979,0.0918900962439814,0.006821799677730979,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012000000000000004,0.09266227921992036,0.006807853185302138,0.09266227921992036,0.006807853185302138,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013000000000000005,0.0938873851211887,0.006789311971784725,0.0938873851211887,0.006789311971784725,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014000000000000005,0.09522096319255914,0.006769927148024337,0.09522096319255914,0.006769927148024337,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015000000000000006,0.09630419084756119,0.006756364002432693,0.09630419084756119,0.006756364002432693,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016000000000000007,0.09687196505749052,0.006754482629121727,0.09687196505749052,0.006754482629121727,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017000000000000008,0.09674448351235625,0.006759373356855871,0.09674448351235625,0.006759373356855871,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01800000000000001,0.09604958429186268,0.006765199011350724,0.09604958429186268,0.006765199011350724,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01900000000000001,0.09484319651814181,0.0067744840944437175,0.09484319651814181,0.0067744840944437175,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02000000000000001,0.09340308563706314,0.006784026674200532,0.09340308563706314,0.006784026674200532,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02100000000000001,0.09205852640283506,0.00679044936053872,0.09205852640283506,0.00679044936053872,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022000000000000013,0.09109829241609485,0.006792543545366488,0.09109829241609485,0.006792543545366488,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023000000000000013,0.09043326512680067,0.006795309644165245,0.09043326512680067,0.006795309644165245,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024000000000000014,0.09002264586834542,0.006798178201586632,0.09002264586834542,0.006798178201586632,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025000000000000015,0.08992311791112806,0.006800118020656785,0.08992311791112806,0.006800118020656785,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
