T,CL,CD,Lift(N),Drag(N),Vinf,alpha(eff),vVehicle_x,vVehicle_y,vVehicle_z,phi,theta,psi 
0.0026404532967032966,-0.12072039455150603,0.0045569776835815345,-6.406158728914697,0.2418209654930351,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.0035206043956043957,-0.08187928202214184,0.004083956465331411,-4.3450129465872305,0.21671958127777713,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.004400755494505495,-0.08881459543254733,0.00419532439228208,-4.71304287812355,0.22262944116521952,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.005280906593406594,-0.09040412013710432,0.004280993066626247,-4.797392731342252,0.22717554232719245,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.006161057692307693,-0.10120673801631419,0.004510510448808963,-5.370645370874541,0.23935513125887153,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.007041208791208792,-0.10824794770071715,0.004683946934111489,-5.744294803097127,0.24855872654499384,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.007921359890109891,-0.11726350091823104,0.00487587924544468,-6.222714917237245,0.25874382290899967,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.00880151098901099,-0.12445970333253453,0.005035647537911908,-6.604589206852481,0.2672221007111489,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.009681662087912088,-0.13186341990785053,0.005188540105680794,-6.9974754605926055,0.2753355107214263,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.010561813186813186,-0.1383001464886957,0.005321252701506923,-7.3390473410086,0.2823780486235515,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.011441964285714284,-0.14447264462765416,0.005442133948976292,-7.666597652445228,0.28879274318709186,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.012322115384615383,-0.1501475576826929,0.005551698217158429,-7.967743071480927,0.2946068899648568,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.013202266483516481,-0.15562571432935868,0.005657214359423204,-8.258447398208647,0.30020621854825114,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.01408241758241758,-0.1606590117743057,0.005747592454965153,-8.52554478868656,0.3050022302562126,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.014962568681318678,-0.16513612819262463,0.005825827090156892,-8.763127829482075,0.30915383606398833,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.015842719780219776,-0.1695874204030789,0.005900800424276634,-8.999340480665758,0.31313237739158567,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.016722870879120874,-0.17362738540154674,0.005968595786521752,-9.213725607019885,0.3167300118529376,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.017603021978021972,-0.1776321645106397,0.006034225455030076,-9.42624355597461,0.320212721426182,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.01848317307692307,-0.18101670751243104,0.006086487740581575,-9.605848002885708,0.32298607631805926,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.01936332417582417,-0.18473337314887606,0.006142975765465512,-9.803076897786402,0.3259836746529039,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.020243475274725267,-0.18733501019908164,0.006176722056388666,-9.941135590856128,0.32777445819837703,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.021123626373626365,-0.19110605656904578,0.006230183416426416,-10.141250258388801,0.33061144327896635,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.022003777472527464,-0.19356068506807997,0.006266363422755525,-10.271507783173659,0.33253137457324755,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.022883928571428562,-0.19666511027182942,0.006304003934737335,-10.436247475179696,0.33452880918476396,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.02376407967032966,-0.1991242985448997,0.006336424503971845,-10.566746969321528,0.3362492418703068,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.02464423076923076,-0.20183916147367506,0.006368005223439105,-10.7108141164974,0.3379251070166411,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.025524381868131857,-0.20405052539754034,0.00639297458327964,-10.828162542637877,0.33925013319048786,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.026404532967032955,-0.20666506358577064,0.00642083897886031,-10.96690584859573,0.3407287875772484,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.027284684065934053,-0.2084934270378837,0.006438781796780918,-11.063929939114134,0.3416809426797103,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.02816483516483515,-0.21135019913568173,0.006462310233648065,-11.21552765032788,0.3429295047124485,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.02904498626373625,-0.21259765411534795,0.006472942889825924,-11.281725202420102,0.3434937381498755,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
0.029925137362637348,-0.21554778822650583,0.006491827790013895,-11.438277270178625,0.3444958858700955,18.20000000000003,-3.3,0.0,0.0,0.0,0.0,0.0,0.0
