ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0,0.0,0.001,0.0,2000,0.007599301,0.001006815,1.20127966,1,1,0,93,0,2.0
12,0.001,0.001,3.46e-06,2000,0.007575996,0.001006285,1.198226918,1,1,0,93,0,2.0
24,0.002,0.001,0.000279984,2000,0.0075696,0.001006748,1.196663644,1,1,0,93,0,2.0
36,0.003,0.001,0.000494336,2000,0.007583032,0.001008637,1.196542383,1,1,0,93,0,2.0
48,0.004,0.001,0.000597918,2000,0.007607292,0.001011384,1.197109697,1,1,0,93,0,2.0
60,0.005,0.001,0.000564031,2000,0.007625477,0.001014243,1.196589472,1,1,0,93,0,2.0
72,0.006,0.001,0.000402865,2000,0.0076324,0.001016748,1.194724346,1,1,0,93,0,2.0
84,0.007,0.001,0.000148655,2000,0.007632639,0.001018602,1.192587644,1,1,0,93,0,2.0
96,0.008,0.001,0.000154776,2000,0.0076258,0.001019451,1.190527245,1,1,0,93,0,2.0
108,0.009,0.001,0.000456598,2000,0.007610978,0.001019097,1.188625698,1,1,0,93,0,2.0
120,0.01,0.001,0.000706027,2000,0.007587616,0.001017516,1.186818182,1,1,0,93,0,2.0
132,0.011,0.001,0.000860331,2000,0.00755778,0.001014921,1.185174228,1,1,0,93,0,2.0
144,0.012,0.001,0.000892825,2000,0.007526113,0.001011736,1.183923198,1,1,0,93,0,2.0
156,0.013,0.001,0.000803819,2000,0.007490072,0.001008348,1.182212958,1,1,0,93,0,2.0
168,0.014,0.001,0.000620916,2000,0.007446392,0.001005136,1.179074752,1,1,0,93,0,2.0
180,0.015,0.001,0.000366285,2000,0.007409003,0.001002865,1.175810724,1,1,0,93,0,2.0
192,0.016,0.001,6.62e-05,2000,0.007397775,0.001002214,1.174791317,1,1,0,93,0,2.0
204,0.017,0.001,0.000233145,2000,0.00742358,0.001003482,1.177400231,1,1,0,93,0,2.0
216,0.018,0.001,0.000465442,2000,0.007465411,0.001005916,1.181169402,1,1,0,93,0,2.0
228,0.019,0.001,0.000576688,2000,0.007499134,0.001008761,1.18315807,1,1,0,93,0,2.0
240,0.02,0.001,0.000545709,2000,0.00751323,0.001011459,1.182220212,1,1,0,93,0,2.0
252,0.021,0.001,0.000390156,2000,0.007513773,0.001013793,1.179584531,1,1,0,93,0,2.0
264,0.022,0.001,0.000144293,2000,0.007507991,0.001015535,1.176654351,1,1,0,93,0,2.0
276,0.023,0.001,0.00015087,2000,0.007498837,0.001016313,1.174319869,1,1,0,93,0,2.0
288,0.024,0.001,0.000447617,2000,0.007485809,0.001015988,1.172655067,1,1,0,93,0,2.0
300,0.025,0.001,0.000696517,2000,0.007466766,0.001014481,1.171409215,1,1,0,93,0,2.0
312,0.026,0.001,0.00085518,2000,0.007443877,0.001012085,1.170583629,1,1,0,93,0,2.0
324,0.027,0.001,0.000894767,2000,0.007421659,0.001009133,1.170503953,1,1,0,93,0,2.0
336,0.028,0.001,0.000817023,2000,0.007393592,0.001005942,1.169775783,1,1,0,93,0,2.0
348,0.029,0.001,0.000654673,2000,0.007353925,0.001002848,1.167089461,1,1,0,93,0,2.0
360,0.03,0.001,0.000419759,2000,0.007320183,0.001000699,1.164229639,1,1,0,93,0,2.0
372,0.031,0.001,0.000125326,2000,0.007316081,0.001000189,1.164170105,1,1,0,93,0,2.0
384,0.032,0.001,0.000174934,2000,0.007344262,0.001001506,1.167118117,1,1,0,93,0,2.0
396,0.033,0.001,0.000410998,2000,0.007383855,0.001003879,1.170635681,1,1,0,93,0,2.0
408,0.034,0.001,0.000527283,2000,0.007408462,0.001006489,1.171491399,1,1,0,93,0,2.0
420,0.035,0.001,0.000505214,2000,0.007410222,0.001008908,1.168960287,1,1,0,93,0,2.0
432,0.036,0.001,0.00036495,2000,0.007400157,0.001010997,1.164960505,1,1,0,93,0,2.0
444,0.037,0.001,0.000136725,2000,0.007389063,0.001012558,1.161420524,1,1,0,93,0,2.0
456,0.038,0.001,0.000145231,2000,0.007383096,0.001013482,1.159424893,1,1,0,93,0,2.0
468,0.039,0.001,0.000438718,2000,0.007376232,0.001013327,1.15852436,1,1,0,93,0,2.0
480,0.04,0.001,0.000695341,2000,0.007367032,0.001012077,1.158508087,1,1,0,93,0,2.0
492,0.041,0.001,0.000869961,2000,0.007354807,0.001009932,1.15904269,1,1,0,93,0,2.0
504,0.042,0.001,0.000926105,2000,0.007344988,0.001007273,1.160550139,1,1,0,93,0,2.0
516,0.043,0.001,0.000865626,2000,0.007326974,0.001004325,1.161101864,1,1,0,93,0,2.0
528,0.044,0.001,0.000716824,2000,0.00729311,0.001001359,1.159158998,1,1,0,93,0,2.0
540,0.045,0.001,0.000492651,2000,0.007258765,0.000999149,1.156252777,1,1,0,93,0,2.0
552,0.046,0.001,0.000209096,2000,0.007244989,0.000998371,1.154957174,1,1,0,93,0,2.0
564,0.047,0.001,8.81e-05,2000,0.007260949,0.000999424,1.156282009,1,1,0,93,0,2.0
576,0.048,0.001,0.00032977,2000,0.00728793,0.001001547,1.158117831,1,1,0,93,0,2.0
588,0.049,0.001,0.000456463,2000,0.007302711,0.001003972,1.157664362,1,1,0,93,0,2.0
600,0.05,0.001,0.000452314,2000,0.007297834,0.001006259,1.15426177,1,1,0,93,0,2.0
612,0.051,0.001,0.000335374,2000,0.007287448,0.00100833,1.150252012,1,1,0,93,0,2.0
624,0.052,0.001,0.000129099,2000,0.007287864,0.001010125,1.148273263,1,1,0,93,0,2.0
636,0.053,0.001,0.000141021,2000,0.007296812,0.001011404,1.148229199,1,1,0,93,0,2.0
648,0.054,0.001,0.000437049,2000,0.007305232,0.001011661,1.149262408,1,1,0,93,0,2.0
660,0.055,0.001,0.000709055,2000,0.007305403,0.00101062,1.15047347,1,1,0,93,0,2.0
672,0.056,0.001,0.000906248,2000,0.007296978,0.001008507,1.151554001,1,1,0,93,0,2.0
684,0.057,0.001,0.000984736,2000,0.007286835,0.001005815,1.153031192,1,1,0,93,0,2.0
696,0.058,0.001,0.000942015,2000,0.007269327,0.001002898,1.153606596,1,1,0,93,0,2.0
708,0.059,0.001,0.000804919,2000,0.007229832,0.000999754,1.150946948,1,1,0,93,0,2.0
720,0.06,0.001,0.000589751,2000,0.00718468,0.000997189,1.146700139,1,1,0,93,0,2.0
732,0.061,0.001,0.000311963,2000,0.007157121,0.000996082,1.143571988,1,1,0,93,0,2.0
744,0.062,0.001,1.35e-05,2000,0.007161157,0.000996938,1.143234579,1,1,0,93,0,2.0
756,0.063,0.001,0.000236909,2000,0.007177443,0.000998884,1.143601311,1,1,0,93,0,2.0
768,0.064,0.001,0.000381694,2000,0.007188944,0.001001283,1.142689686,1,1,0,93,0,2.0
780,0.065,0.001,0.00040144,2000,0.007187441,0.001003684,1.139718081,1,1,0,93,0,2.0
792,0.066,0.001,0.000310798,2000,0.007191605,0.001006101,1.137638513,1,1,0,93,0,2.0
