ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0.0,0.0,0.001,0.0,1600.0,0.0064939457915833,0.0010176104315969,1.0156574075988771,1.0,1.0,0.0,93.0,0.0,8.0
9.6,0.001,0.001,7.268056870192311e-06,1600.0,0.0064806255340693,0.0010172305299164,1.0139526466625453,1.0,1.0,0.0,93.0,0.0,8.0
19.2,0.002,0.001,0.0007075768657348,1600.0,0.0065679917025206,0.0010276801114518,1.0171728867711205,1.0,1.0,0.0,93.0,0.0,8.0
28.8,0.003,0.001,0.0012798745331977,1600.0,0.0068369809095417,0.0010584935400823,1.028007509137825,1.0,1.0,0.0,93.0,0.0,8.0
38.4,0.004,0.001,0.0016615341650712,1600.0,0.0072498678021476,0.0011060622079501,1.0432074156235829,1.0,1.0,0.0,93.0,0.0,8.0
48.0,0.005,0.001,0.001818336590219,1600.0,0.0077591902028837,0.0011650598878099,1.0599570786876011,1.0,1.0,0.0,93.0,0.0,8.0
57.6,0.006,0.001,0.0017367508693039,1600.0,0.0083056237291811,0.0012290217788717,1.0755554496146031,1.0,1.0,0.0,93.0,0.0,8.0
67.2,0.007,0.001,0.0014277316486606,1600.0,0.0088078985483212,0.0012891678802342,1.087384051146664,1.0,1.0,0.0,93.0,0.0,8.0
76.8,0.008,0.001,0.0009201861080524,1600.0,0.0092145183790958,0.0013385301830304,1.0956317360912475,1.0,1.0,0.0,93.0,0.0,8.0
86.4,0.009,0.001,0.000267647232725,1600.0,0.0094956749251096,0.0013729568059678,1.1007510183538598,1.0,1.0,0.0,93.0,0.0,8.0
96.0,0.01,0.001,0.0004569722035006,1600.0,0.0096275660567408,0.0013895557349859,1.1027083615969533,1.0,1.0,0.0,93.0,0.0,8.0
105.60000000000004,0.011,0.001,0.0011706209789948,1600.0,0.0095964934822648,0.0013868785723873,1.101271159898662,1.0,1.0,0.0,93.0,0.0,8.0
115.20000000000005,0.012,0.001,0.0017912547507737,1600.0,0.0094046599760796,0.0013651601081057,1.096426795951802,1.0,1.0,0.0,93.0,0.0,8.0
124.80000000000004,0.013,0.001,0.0022477894055147,1600.0,0.0090711895586238,0.0013262744484748,1.0885564896758433,1.0,1.0,0.0,93.0,0.0,8.0
134.40000000000003,0.014,0.001,0.0024915043541601,1600.0,0.0086266455092976,0.0012735398290648,1.0780764321398597,1.0,1.0,0.0,93.0,0.0,8.0
144.00000000000006,0.015,0.001,0.002498547911692,1600.0,0.0081110816228895,0.0012116975685493,1.0653803123911856,1.0,1.0,0.0,93.0,0.0,8.0
153.60000000000005,0.016,0.001,0.0022656968407311,1600.0,0.0075859776388721,0.0011487713771381,1.0509887897963437,1.0,1.0,0.0,93.0,0.0,8.0
163.20000000000007,0.017,0.001,0.0018122170911713,1600.0,0.0071161018174647,0.0010923769449548,1.0367875164571334,1.0,1.0,0.0,93.0,0.0,8.0
172.8000000000001,0.018,0.001,0.001193938735428,1600.0,0.0067430436775665,0.0010483955701246,1.0236486716951905,1.0,1.0,0.0,93.0,0.0,8.0
182.4000000000001,0.019,0.001,0.0004746171244005,1600.0,0.0064609706369835,0.0010206429153906,1.007497723779319,1.0,1.0,0.0,93.0,0.0,8.0
192.00000000000009,0.02,0.001,0.0002535292185111,1600.0,0.0062631420037202,0.0010111404319564,0.985827465379679,1.0,1.0,0.0,93.0,0.0,8.0
201.6000000000001,0.021,0.001,0.0008940120087696,1600.0,0.0062088741357032,0.0010220544504561,0.9668496715528192,1.0,1.0,0.0,93.0,0.0,8.0
211.20000000000013,0.022,0.001,0.0013930522896125,1600.0,0.0063840023641551,0.0010540504718197,0.9639439098315082,1.0,1.0,0.0,93.0,0.0,8.0
220.80000000000013,0.023,0.001,0.0016958782517682,1600.0,0.0067660308693405,0.0011035536825875,0.975799614426524,1.0,1.0,0.0,93.0,0.0,8.0
230.40000000000012,0.024,0.001,0.0017826711039945,1600.0,0.0072961388701985,0.0011646190079134,0.9970784941570224,1.0,1.0,0.0,93.0,0.0,8.0
240.0000000000001,0.025,0.001,0.0016472904943857,1600.0,0.0078962249140825,0.0012301484911082,1.0216028682110174,1.0,1.0,0.0,93.0,0.0,8.0
249.6000000000002,0.026,0.001,0.0013004319081386,1600.0,0.0084730947685941,0.0012903562369843,1.0450872999687555,1.0,1.0,0.0,93.0,0.0,8.0
259.20000000000016,0.027,0.001,0.0007657362417957,1600.0,0.0089773033947763,0.0013393896310902,1.0667412810649477,1.0,1.0,0.0,93.0,0.0,8.0
268.8000000000002,0.028,0.001,9.081923865302052e-05,1600.0,0.0093544623972279,0.001372777043511,1.0845234756244762,1.0,1.0,0.0,93.0,0.0,8.0
278.4000000000002,0.029,0.001,0.0006506384536155,1600.0,0.0095568805783102,0.0013873011936596,1.0963911741217138,1.0,1.0,0.0,93.0,0.0,8.0
288.00000000000017,0.03,0.001,0.0013684332494306,1600.0,0.0095664777532569,0.0013817359947362,1.101912542055532,1.0,1.0,0.0,93.0,0.0,8.0
297.6000000000002,0.031,0.001,0.0019819155538275,1600.0,0.0094067632741679,0.0013571823275479,1.1031184559292229,1.0,1.0,0.0,93.0,0.0,8.0
307.2000000000002,0.032,0.001,0.0024227460519202,1600.0,0.0090985845425729,0.0013159292272171,1.100427496509336,1.0,1.0,0.0,93.0,0.0,8.0
316.8000000000002,0.033,0.001,0.0026520221671022,1600.0,0.0086803102720578,0.0012617842734066,1.0948894486055802,1.0,1.0,0.0,93.0,0.0,8.0
