ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0.0,0.0,0.001,0.0,1600,0.007406202,0.00103824,1.135319233,1,1,0,93,0,2.0
9.6,0.001,0.001,1.3e-06,1600,0.007382654,0.001037742,1.132252889,1,1,0,93,0,2.0
19.2,0.002,0.001,0.000185513,1600,0.007377515,0.001038265,1.130894704,1,1,0,93,0,2.0
28.8,0.003,0.001,0.00034545,1600,0.007396681,0.001040342,1.131568779,1,1,0,93,0,2.0
38.4,0.004,0.001,0.0004574,1600,0.00742919,0.001043477,1.133127349,1,1,0,93,0,2.0
48.0,0.005,0.001,0.000503533,1600,0.007460263,0.001047057,1.133976181,1,1,0,93,0,2.0
57.6,0.006,0.001,0.000478036,1600,0.007481366,0.001050647,1.133297831,1,1,0,93,0,2.0
67.2,0.007,0.001,0.000388944,1600,0.007495343,0.001054004,1.131799009,1,1,0,93,0,2.0
76.8,0.008,0.001,0.000248589,1600,0.007505807,0.001056853,1.130324407,1,1,0,93,0,2.0
86.4,0.009,0.001,7.19e-05,1600,0.007510425,0.00105883,1.128907301,1,1,0,93,0,2.0
96.0,0.01,0.001,0.00012233,1600,0.007506747,0.001059666,1.127464204,1,1,0,93,0,2.0
105.6,0.011,0.001,0.000313196,1600,0.007493314,0.001059222,1.125918703,1,1,0,93,0,2.0
115.2,0.012,0.001,0.000480045,1600,0.007469902,0.001057504,1.124224882,1,1,0,93,0,2.0
124.8,0.013,0.001,0.00060456,1600,0.007438078,0.001054673,1.122439737,1,1,0,93,0,2.0
134.4,0.014,0.001,0.000672511,1600,0.007400396,0.001051012,1.120643299,1,1,0,93,0,2.0
144.0,0.015,0.001,0.000676145,1600,0.007361791,0.001046936,1.119136993,1,1,0,93,0,2.0
153.6,0.016,0.001,0.000617453,1600,0.007321645,0.00104278,1.117470692,1,1,0,93,0,2.0
163.2,0.017,0.001,0.000509742,1600,0.007275039,0.001038827,1.114582091,1,1,0,93,0,2.0
172.8,0.018,0.001,0.000364003,1600,0.007229313,0.001035655,1.110969346,1,1,0,93,0,2.0
182.4,0.019,0.001,0.00018847,1600,0.007199575,0.001033817,1.108366606,1,1,0,93,0,2.0
192.0,0.02,0.001,3.11e-06,1600,0.007198413,0.001033669,1.108345913,1,1,0,93,0,2.0
201.6,0.021,0.001,0.000188931,1600,0.00722608,0.00103519,1.110971558,1,1,0,93,0,2.0
211.2,0.022,0.001,0.000342443,1600,0.00726595,0.001037832,1.114257309,1,1,0,93,0,2.0
220.8,0.023,0.001,0.00044074,1600,0.007303121,0.001041131,1.116408371,1,1,0,93,0,2.0
230.4,0.024,0.001,0.000470226,1600,0.007325469,0.001044561,1.116148416,1,1,0,93,0,2.0
240.0,0.025,0.001,0.000432838,1600,0.007335878,0.001047934,1.114136594,1,1,0,93,0,2.0
249.6,0.026,0.001,0.000337817,1600,0.007342208,0.001051074,1.111765934,1,1,0,93,0,2.0
259.2,0.027,0.001,0.000196714,1600,0.007346658,0.001053656,1.109714207,1,1,0,93,0,2.0
268.8,0.028,0.001,2.31e-05,1600,0.007347715,0.001055329,1.108114178,1,1,0,93,0,2.0
278.4,0.029,0.001,0.000165573,1600,0.007343506,0.001055891,1.106890264,1,1,0,93,0,2.0
288.0,0.03,0.001,0.000349714,1600,0.007332241,0.001055235,1.105879039,1,1,0,93,0,2.0
297.6,0.031,0.001,0.000509085,1600,0.007313529,0.001053371,1.105009298,1,1,0,93,0,2.0
307.2,0.032,0.001,0.000625603,1600,0.00728932,0.001050539,1.104320144,1,1,0,93,0,2.0
316.8,0.033,0.001,0.000684003,1600,0.007262699,0.001047015,1.103990128,1,1,0,93,0,2.0
326.4,0.034,0.001,0.000676714,1600,0.007237832,0.00104321,1.104223235,1,1,0,93,0,2.0
336.0,0.035,0.001,0.000612282,1600,0.007209096,0.001039348,1.103925808,1,1,0,93,0,2.0
345.6,0.036,0.001,0.000505079,1600,0.007170198,0.001035733,1.101801366,1,1,0,93,0,2.0
355.2,0.037,0.001,0.000361612,1600,0.00713269,0.001032977,1.098962844,1,1,0,93,0,2.0
364.8,0.038,0.001,0.000190321,1600,0.007110329,0.001031464,1.097124312,1,1,0,93,0,2.0
374.4,0.039,0.001,4.59e-06,1600,0.007111992,0.001031652,1.097180759,1,1,0,93,0,2.0
384.0,0.04,0.001,0.000171224,1600,0.007133411,0.001033316,1.098712599,1,1,0,93,0,2.0
393.6,0.041,0.001,0.000312172,1600,0.007162848,0.001035986,1.100403649,1,1,0,93,0,2.0
403.2,0.042,0.001,0.000396993,1600,0.007185836,0.001039146,1.100578078,1,1,0,93,0,2.0
412.8,0.043,0.001,0.000415579,1600,0.007193812,0.001042365,1.098396699,1,1,0,93,0,2.0
422.4,0.044,0.001,0.000373833,1600,0.007194776,0.001045556,1.095191105,1,1,0,93,0,2.0
432.0,0.045,0.001,0.000280986,1600,0.007197837,0.001048504,1.092576981,1,1,0,93,0,2.0
441.6,0.046,0.001,0.000145445,1600,0.007204843,0.001050932,1.091113435,1,1,0,93,0,2.0
451.2,0.047,0.001,2.23e-05,1600,0.007214289,0.00105259,1.090823351,1,1,0,93,0,2.0
460.8,0.048,0.001,0.000207457,1600,0.007219818,0.00105312,1.091110504,1,1,0,93,0,2.0
470.4,0.049,0.001,0.000391194,1600,0.007216884,0.001052403,1.091409122,1,1,0,93,0,2.0
480.0,0.05,0.001,0.000552339,1600,0.007205428,0.001050465,1.091687078,1,1,0,93,0,2.0
489.6,0.051,0.001,0.000669606,1600,0.007188213,0.001047619,1.092038138,1,1,0,93,0,2.0
499.2,0.052,0.001,0.000725341,1600,0.00717072,0.001044161,1.092987951,1,1,0,93,0,2.0
508.8,0.053,0.001,0.000713723,1600,0.007156415,0.001040604,1.094536614,1,1,0,93,0,2.0
518.4,0.054,0.001,0.000645578,1600,0.007129234,0.001036819,1.094359842,1,1,0,93,0,2.0
528.0,0.055,0.001,0.000534125,1600,0.007089554,0.001033328,1.09194504,1,1,0,93,0,2.0
537.6,0.056,0.001,0.000387238,1600,0.007051227,0.0010307,1.088811475,1,1,0,93,0,2.0
547.2,0.057,0.001,0.000215938,1600,0.007021582,0.001029229,1.085782844,1,1,0,93,0,2.0
556.8,0.058,0.001,3.55e-05,1600,0.007013013,0.001029465,1.084208988,1,1,0,93,0,2.0
566.4,0.059,0.001,0.00013417,1600,0.007024051,0.001031167,1.08412361,1,1,0,93,0,2.0
576.0,0.06,0.001,0.000266849,1600,0.007040854,0.001033802,1.083947094,1,1,0,93,0,2.0
585.6,0.061,0.001,0.000343482,1600,0.007053865,0.001036944,1.082659604,1,1,0,93,0,2.0
595.2,0.062,0.001,0.000357863,1600,0.007056369,0.001040139,1.079716982,1,1,0,93,0,2.0
604.8,0.063,0.001,0.000318651,1600,0.007060199,0.001043379,1.076949064,1,1,0,93,0,2.0
614.4,0.064,0.001,0.000231727,1600,0.007081366,0.001046589,1.076864059,1,1,0,93,0,2.0
624.0,0.065,0.001,0.00010097,1600,0.007116424,0.001049483,1.079211168,1,1,0,93,0,2.0
633.6,0.066,0.001,6.61e-05,1600,0.007152247,0.001051477,1.082587019,1,1,0,93,0,2.0
643.2,0.067,0.001,0.000253921,1600,0.007176761,0.001052142,1.0856109,1,1,0,93,0,2.0
652.8,0.068,0.001,0.000440789,1600,0.007180743,0.001051243,1.087142524,1,1,0,93,0,2.0
662.4,0.069,0.001,0.000603024,1600,0.007166172,0.001048976,1.087280573,1,1,0,93,0,2.0
672.0,0.07,0.001,0.000718853,1600,0.007140213,0.001045665,1.086772424,1,1,0,93,0,2.0
681.6,0.071,0.001,0.000770905,1600,0.007114609,0.001041959,1.08672672,1,1,0,93,0,2.0
691.2,0.072,0.001,0.000753822,1600,0.00709146,0.001038191,1.087122124,1,1,0,93,0,2.0
700.8,0.073,0.001,0.000680194,1600,0.007053458,0.00103425,1.085416955,1,1,0,93,0,2.0
710.4,0.074,0.001,0.00056563,1600,0.007005799,0.001030673,1.081825108,1,1,0,93,0,2.0
720.0,0.075,0.001,0.000417237,1600,0.006957214,0.001027937,1.07718161,1,1,0,93,0,2.0
729.6,0.076,0.001,0.000247456,1600,0.006918351,0.001026543,1.072618823,1,1,0,93,0,2.0
739.2,0.077,0.001,6.81e-05,1600,0.006904089,0.001027039,1.069891027,1,1,0,93,0,2.0
748.8,0.078,0.001,9.53e-05,1600,0.006904179,0.001028787,1.068087502,1,1,0,93,0,2.0
758.4,0.079,0.001,0.000222233,1600,0.006913098,0.001031571,1.066581007,1,1,0,93,0,2.0
768.0,0.08,0.001,0.000294235,1600,0.006920009,0.001034806,1.064309312,1,1,0,93,0,2.0
777.6,0.081,0.001,0.000310118,1600,0.006931045,0.001038319,1.062400159,1,1,0,93,0,2.0
787.2,0.082,0.001,0.000278568,1600,0.006966038,0.001042292,1.06369339,1,1,0,93,0,2.0
796.8,0.083,0.001,0.000196111,1600,0.007032355,0.001046448,1.069555302,1,1,0,93,0,2.0
806.4,0.084,0.001,6.19e-05,1600,0.007108598,0.001050064,1.07742807,1,1,0,93,0,2.0
816.0,0.085,0.001,0.000113158,1600,0.007166309,0.001052192,1.083978709,1,1,0,93,0,2.0
825.6,0.086,0.001,0.000307188,1600,0.007193712,0.001052523,1.087781409,1,1,0,93,0,2.0
835.2,0.087,0.001,0.000495293,1600,0.007190427,0.001051108,1.088747919,1,1,0,93,0,2.0
844.8,0.088,0.001,0.000655721,1600,0.007158092,0.001048103,1.086959597,1,1,0,93,0,2.0
854.4,0.089,0.001,0.000767915,1600,0.00711527,0.001044225,1.084470014,1,1,0,93,0,2.0
864.0,0.09,0.001,0.000813024,1600,0.007072571,0.001039974,1.082368407,1,1,0,93,0,2.0
873.6,0.091,0.001,0.000788269,1600,0.007030989,0.001035737,1.080406759,1,1,0,93,0,2.0
883.2,0.092,0.001,0.000711044,1600,0.006982393,0.001031644,1.077195723,1,1,0,93,0,2.0
892.8,0.093,0.001,0.000591896,1600,0.00692354,0.001027963,1.071940883,1,1,0,93,0,2.0
902.4,0.094,0.001,0.000444075,1600,0.00686285,0.001025156,1.065453622,1,1,0,93,0,2.0
912.0,0.095,0.001,0.000275422,1600,0.006813791,0.001023953,1.059079778,1,1,0,93,0,2.0
921.6,0.096,0.001,9.74e-05,1600,0.006794801,0.001024792,1.055264036,1,1,0,93,0,2.0
931.2,0.097,0.001,6.51e-05,1600,0.00679495,0.001027028,1.052989606,1,1,0,93,0,2.0
940.8,0.098,0.001,0.000190072,1600,0.006807226,0.001030286,1.051556404,1,1,0,93,0,2.0
950.4,0.099,0.001,0.00026452,1600,0.006828858,0.001034123,1.050984053,1,1,0,93,0,2.0
960.0,0.1,0.001,0.000290496,1600,0.006881305,0.00103874,1.054347963,1,1,0,93,0,2.0
969.6,0.101,0.001,0.00026175,1600,0.006973531,0.001043913,1.063184775,1,1,0,93,0,2.0
979.2,0.102,0.001,0.000170949,1600,0.007074897,0.001048544,1.07387418,1,1,0,93,0,2.0
988.8,0.103,0.001,2.18e-05,1600,0.007160654,0.001051938,1.083384377,1,1,0,93,0,2.0
998.4,0.104,0.001,0.000164989,1600,0.007212475,0.001053501,1.089605793,1,1,0,93,0,2.0
1008.0,0.105,0.001,0.000364189,1600,0.007226325,0.001053137,1.092075777,1,1,0,93,0,2.0
1017.6,0.106,0.001,0.000551499,1600,0.007204522,0.001050896,1.091102477,1,1,0,93,0,2.0
1027.2,0.107,0.001,0.000707341,1600,0.007158914,0.001047354,1.087861997,1,1,0,93,0,2.0
1036.8,0.108,0.001,0.000810127,1600,0.007101222,0.001042951,1.083650385,1,1,0,93,0,2.0
1046.4,0.109,0.001,0.000845521,1600,0.007044177,0.001038317,1.079743393,1,1,0,93,0,2.0
1056.0,0.11,0.001,0.0008137,1600,0.006988132,0.001033703,1.075933024,1,1,0,93,0,2.0
1065.6,0.111,0.001,0.000730171,1600,0.006927001,0.001029428,1.070950793,1,1,0,93,0,2.0
1075.2,0.112,0.001,0.000606684,1600,0.006858593,0.001025785,1.064140589,1,1,0,93,0,2.0
1084.8,0.113,0.001,0.000453372,1600,0.006793587,0.001023441,1.056468152,1,1,0,93,0,2.0
1094.4,0.114,0.001,0.000285752,1600,0.006738404,0.001022522,1.048828806,1,1,0,93,0,2.0
1104.0,0.115,0.001,0.000102578,1600,0.006725936,0.001024103,1.045271316,1,1,0,93,0,2.0
1113.6,0.116,0.001,6.49e-05,1600,0.006741302,0.001027241,1.044459207,1,1,0,93,0,2.0
1123.2,0.117,0.001,0.000194482,1600,0.00677784,0.001031427,1.045858392,1,1,0,93,0,2.0
1132.8,0.118,0.001,0.000275177,1600,0.006838967,0.001036277,1.050351891,1,1,0,93,0,2.0
1142.4,0.119,0.001,0.000299731,1600,0.006933806,0.001041653,1.059420996,1,1,0,93,0,2.0
1152.0,0.12,0.001,0.00025581,1600,0.007045488,0.001046832,1.071160026,1,1,0,93,0,2.0
1161.6,0.121,0.001,0.000143688,1600,0.007144411,0.001050974,1.081918232,1,1,0,93,0,2.0
1171.2,0.122,0.001,2.3e-05,1600,0.007214072,0.001053533,1.089814025,1,1,0,93,0,2.0
1180.8,0.123,0.001,0.000219835,1600,0.007247757,0.00105431,1.094095739,1,1,0,93,0,2.0
1190.4,0.124,0.001,0.000421811,1600,0.007244888,0.001053218,1.094797313,1,1,0,93,0,2.0
1200.0,0.125,0.001,0.000605891,1600,0.007210415,0.001050494,1.092412771,1,1,0,93,0,2.0
1209.6,0.126,0.001,0.000753283,1600,0.00715013,0.001046437,1.087479365,1,1,0,93,0,2.0
1219.2,0.127,0.001,0.000844061,1600,0.007080567,0.001041663,1.081834695,1,1,0,93,0,2.0
