T,CL,CD,Lift(N),Drag(N),Vinf,alpha(eff),vVehicle_x,vVehicle_y,vVehicle_z,phi,theta,psi 
0.003,-0.05690858903954703,0.1156544676434323,-0.05690858903954703,0.1156544676434323,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,-0.05876543769577803,0.11566285674476123,-0.05876543769577803,0.11566285674476123,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,-0.0604226996448454,0.11566995489575324,-0.0604226996448454,0.11566995489575324,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,-0.061815164336038335,0.11567586393482522,-0.061815164336038335,0.11567586393482522,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,-0.0625191780910981,0.11568024375205585,-0.0625191780910981,0.11568024375205585,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,-0.06280648062243083,0.11568395012506588,-0.06280648062243083,0.11568395012506588,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009000000000000001,-0.06259402513196595,0.11568771635410016,-0.06259402513196595,0.11568771635410016,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010000000000000002,-0.06180700869214935,0.11569142709437452,-0.06180700869214935,0.11569142709437452,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011000000000000003,-0.060049008661145806,0.11569458132029808,-0.060049008661145806,0.11569458132029808,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012000000000000004,-0.05772995988385346,0.11569752687645951,-0.05772995988385346,0.11569752687645951,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013000000000000005,-0.05466205529607257,0.11570063820916786,-0.05466205529607257,0.11570063820916786,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014000000000000005,-0.051262231603526845,0.11570450437888224,-0.051262231603526845,0.11570450437888224,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015000000000000006,-0.048622854936991755,0.11570863844545132,-0.048622854936991755,0.11570863844545132,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016000000000000007,-0.04665704658532982,0.11571535191023152,-0.04665704658532982,0.11571535191023152,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017000000000000008,-0.04547732710873324,0.11572577488591256,-0.04547732710873324,0.11572577488591256,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01800000000000001,-0.045433834967476494,0.11573745711322113,-0.045433834967476494,0.11573745711322113,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01900000000000001,-0.045153019829844085,0.11574861446669461,-0.045153019829844085,0.11574861446669461,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02000000000000001,-0.04569344582927776,0.11576815078265235,-0.04569344582927776,0.11576815078265235,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02100000000000001,-0.045391295025226076,0.11578909671828494,-0.045391295025226076,0.11578909671828494,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022000000000000013,-0.046305137473310894,0.11580963687786153,-0.046305137473310894,0.11580963687786153,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023000000000000013,-0.04833264070064273,0.11583207062679855,-0.04833264070064273,0.11583207062679855,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024000000000000014,-0.05109581440751492,0.1158518790787565,-0.05109581440751492,0.1158518790787565,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025000000000000015,-0.05566054736551758,0.11586637975961578,-0.05566054736551758,0.11586637975961578,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.026000000000000016,-0.06075870528778118,0.11587770220650442,-0.06075870528778118,0.11587770220650442,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027000000000000017,-0.06633182279173928,0.11588272754830778,-0.06633182279173928,0.11588272754830778,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.028000000000000018,-0.07317443707230238,0.11588252456632188,-0.07317443707230238,0.11588252456632188,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02900000000000002,-0.08059725224102383,0.11587672949112887,-0.08059725224102383,0.11587672949112887,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03000000000000002,-0.08830236255409347,0.1158657308929414,-0.08830236255409347,0.1158657308929414,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03100000000000002,-0.09661920252876026,0.11584982442176585,-0.09661920252876026,0.11584982442176585,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03200000000000002,-0.10514856238600721,0.11582747289811522,-0.10514856238600721,0.11582747289811522,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03300000000000002,-0.11482672876806048,0.11579906348125947,-0.11482672876806048,0.11579906348125947,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03400000000000002,-0.12722640255050874,0.11576049151317822,-0.12722640255050874,0.11576049151317822,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.035000000000000024,-0.1416723454468948,0.1157198779208268,-0.1416723454468948,0.1157198779208268,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.036000000000000025,-0.15846141154549617,0.11567178501564226,-0.15846141154549617,0.11567178501564226,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
