T,CL,CD,Lift(N),Drag(N),Vinf,alpha(eff),vVehicle_x,vVehicle_y,vVehicle_z,phi,theta,psi 
0.002316780821917808,0.903690098405411,0.09616060296892852,5.955107475366975,0.6336759986487787,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003089041095890411,0.8920460791826283,0.09802196951196744,5.878376098051604,0.6459419710594627,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0038613013698630136,0.9406572256431988,0.1005809379854788,6.198712242250048,0.6628049778720033,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004633561643835616,0.9902791237688804,0.10402592949490518,6.525709004737068,0.6855066703289203,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005405821917808219,1.0379509244245293,0.10674852950765984,6.839855078650672,0.7034479709108328,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006178082191780822,1.0802187150228593,0.10881399106845002,7.1183899837066305,0.7170588819991014,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0069503424657534245,1.1183136086870005,0.11038173063226334,7.3694264689275455,0.7273899209386305,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007722602739726027,1.1529075707590475,0.11154589127609711,7.597392629563057,0.7350614687013597,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00849486301369863,1.1843612081861865,0.11244118909564406,7.804664781488094,0.7409612730117882,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009267123287671233,1.213644373323178,0.11311528719140375,7.997634026052586,0.7454034226118254,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010039383561643835,1.2402318350188866,0.1135918089104785,8.172839212182796,0.7485435898621295,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010811643835616436,1.2656998460375273,0.11396341426303891,8.340667478828022,0.750992382669336,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011583904109589038,1.2888703266398354,0.11421380718782109,8.493355554625385,0.7526424137815286,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01235616438356164,1.3107338057624947,0.1143428981733626,8.637430794788598,0.7534930933389977,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013128424657534242,1.331207661476414,0.11439838937696645,8.772348740029654,0.7538587674588996,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013900684931506844,1.3501124172498986,0.11433950778531898,8.896926681765782,0.7534707514706752,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014672945205479446,1.3687930078639716,0.1142063405226939,9.02002742726076,0.7525932101957049,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015445205479452048,1.3866900652045955,0.1140822934070831,9.13796487079841,0.7517757685674574,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01621746575342465,1.4036325358476496,0.1139292250945469,9.249611810114962,0.7507670840042043,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01698972602739725,1.419916849173029,0.11374576906749856,9.35692164584991,0.7495581514730143,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017761986301369853,1.4349189962426019,0.11351639016465574,9.455782304297104,0.748046597875801,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.018534246575342455,1.449800393359568,0.11320994679201161,9.553847248653055,0.7460272073541722,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019306506849315057,1.463014292377868,0.1128977032701588,9.640923768536888,0.743969595198853,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02007876712328766,1.4769943261852092,0.11243342410878468,9.73304893841413,0.7409101035551636,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02085102739726026,1.4888382249122882,0.11219799759868374,9.811097475154295,0.7393586976332933,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.021623287671232862,1.5023421848182343,0.11168558679736519,9.900085428795544,0.7359820296817741,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022395547945205464,1.512871664219791,0.11166545470514697,9.969472248023258,0.7358493638784471,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023167808219178066,1.5235761707771398,0.1112693440853622,10.04001245548184,0.7332390870621859,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023940068493150668,1.5330546331643975,0.11094623865611652,10.102473317138886,0.7311098974645265,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02471232876712327,1.541525059791988,0.11063945994676996,10.15829145769229,0.7290882971520557,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02548458904109587,1.5492407767849126,0.11035210347566794,10.209136237361179,0.7271946848703961,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.026256849315068474,1.5566673814727134,0.11008231629923369,10.258075834210759,0.7254168501525247,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027029109589041075,1.5632785880958935,0.10981359861471533,10.301642147543577,0.7236460631375267,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027801369863013677,1.5692077658917474,0.10953909051189822,10.34071404960068,0.7218371186132705,14.599999999999984,15.0,0.0,0.0,0.0,0.0,0.0,0.0
