ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0,0.0,0.001,0.0,2000,0.00786783,0.001012617,1.236602342,1,1,0,93,0,4.0
12,0.001,0.001,2.09e-06,2000,0.007845766,0.001012172,1.233676559,1,1,0,93,0,4.0
24,0.002,0.001,0.000573525,2000,0.007857971,0.001014701,1.232515217,1,1,0,93,0,4.0
36,0.003,0.001,0.001000402,2000,0.007916621,0.001022137,1.232681582,1,1,0,93,0,4.0
48,0.004,0.001,0.001198811,2000,0.008002309,0.001032896,1.233044351,1,1,0,93,0,4.0
60,0.005,0.001,0.00112902,2000,0.00808982,0.001044945,1.232155823,1,1,0,93,0,4.0
72,0.006,0.001,0.000808419,2000,0.008162716,0.001056246,1.229956611,1,1,0,93,0,4.0
84,0.007,0.001,0.00029893,2000,0.008214267,0.00106498,1.227573784,1,1,0,93,0,4.0
96,0.008,0.001,0.00031176,2000,0.008236324,0.001069616,1.22553488,1,1,0,93,0,4.0
108,0.009,0.001,0.000920112,2000,0.008221157,0.001069253,1.223693062,1,1,0,93,0,4.0
120,0.01,0.001,0.001422319,2000,0.008168719,0.001063892,1.222014468,1,1,0,93,0,4.0
132,0.011,0.001,0.001732412,2000,0.008088697,0.001054467,1.220859421,1,1,0,93,0,4.0
144,0.012,0.001,0.001795412,2000,0.007994769,0.001042596,1.220421434,1,1,0,93,0,4.0
156,0.013,0.001,0.001604113,2000,0.007899509,0.00103031,1.220259678,1,1,0,93,0,4.0
168,0.014,0.001,0.001201516,2000,0.007814481,0.001019631,1.219768593,1,1,0,93,0,4.0
180,0.015,0.001,0.000649118,2000,0.007757215,0.001012489,1.219370906,1,1,0,93,0,4.0
192,0.016,0.001,3.09e-05,2000,0.007746836,0.001010297,1.220381151,1,1,0,93,0,4.0
204,0.017,0.001,0.000541808,2000,0.007780094,0.001013268,1.222026722,1,1,0,93,0,4.0
216,0.018,0.001,0.000962906,2000,0.0078455,0.001020663,1.223371683,1,1,0,93,0,4.0
228,0.019,0.001,0.001152623,2000,0.007918976,0.001030986,1.222465258,1,1,0,93,0,4.0
240,0.02,0.001,0.001082326,2000,0.00798594,0.001042491,1.219196777,1,1,0,93,0,4.0
252,0.021,0.001,0.000775354,2000,0.008041949,0.001053354,1.215086551,1,1,0,93,0,4.0
264,0.022,0.001,0.000288163,2000,0.008088729,0.001061917,1.21229893,1,1,0,93,0,4.0
276,0.023,0.001,0.000302388,2000,0.008113334,0.001066607,1.210640164,1,1,0,93,0,4.0
288,0.024,0.001,0.000900632,2000,0.008105456,0.001066431,1.209664531,1,1,0,93,0,4.0
300,0.025,0.001,0.001407156,2000,0.00806519,0.001061418,1.209339794,1,1,0,93,0,4.0
312,0.026,0.001,0.001733395,2000,0.007995226,0.001052249,1.20929554,1,1,0,93,0,4.0
324,0.027,0.001,0.001819381,2000,0.007913759,0.001040734,1.210216805,1,1,0,93,0,4.0
336,0.028,0.001,0.001652346,2000,0.007830923,0.001028794,1.211448091,1,1,0,93,0,4.0
348,0.029,0.001,0.001268962,2000,0.007753641,0.001018299,1.211854742,1,1,0,93,0,4.0
360,0.03,0.001,0.000733052,2000,0.00769682,0.001011146,1.211483879,1,1,0,93,0,4.0
372,0.031,0.001,0.000127386,2000,0.007677845,0.001008635,1.211505181,1,1,0,93,0,4.0
384,0.032,0.001,0.000435606,2000,0.007696857,0.001011203,1.211421402,1,1,0,93,0,4.0
396,0.033,0.001,0.000854484,2000,0.007741579,0.001018148,1.210148906,1,1,0,93,0,4.0
408,0.034,0.001,0.001054136,2000,0.007797254,0.001028092,1.20706298,1,1,0,93,0,4.0
420,0.035,0.001,0.00100708,2000,0.007857598,0.001039499,1.203056163,1,1,0,93,0,4.0
432,0.036,0.001,0.000734884,2000,0.007927395,0.001050697,1.200806654,1,1,0,93,0,4.0
444,0.037,0.001,0.000278392,2000,0.008006785,0.001060077,1.20210053,1,1,0,93,0,4.0
