ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0,0.0,0.001,0.0,2000,0.007866948,0.001012617,1.236463768,1,1,0,93,0,0.0
12,0.001,0.001,1.16e-05,2000,0.007850711,0.001012241,1.234369224,1,1,0,93,0,0.0
24,0.002,0.001,1.71e-05,2000,0.007842592,0.001011975,1.233417167,1,1,0,93,0,0.0
36,0.003,0.001,1.26e-05,2000,0.007845839,0.001011951,1.233956635,1,1,0,93,0,0.0
48,0.004,0.001,1.23e-07,2000,0.007850864,0.001012025,1.234656605,1,1,0,93,0,0.0
60,0.005,0.001,5.79e-06,2000,0.00784436,0.001011936,1.233743245,1,1,0,93,0,0.0
72,0.006,0.001,4.14e-06,2000,0.007826119,0.001011616,1.231263251,1,1,0,93,0,0.0
84,0.007,0.001,1.19e-06,2000,0.007804439,0.001011193,1.228366289,1,1,0,93,0,0.0
96,0.008,0.001,1.04e-06,2000,0.007783453,0.001010757,1.225591871,1,1,0,93,0,0.0
108,0.009,0.001,2.89e-06,2000,0.007763433,0.001010319,1.222969372,1,1,0,93,0,0.0
120,0.01,0.001,4.68e-06,2000,0.00774466,0.001009892,1.22052764,1,1,0,93,0,0.0
132,0.011,0.001,6.4e-06,2000,0.007726973,0.001009474,1.218243944,1,1,0,93,0,0.0
144,0.012,0.001,7.87e-06,2000,0.00771071,0.001009081,1.216154027,1,1,0,93,0,0.0
156,0.013,0.001,1.64e-05,2000,0.007690169,0.001008608,1.213483193,1,1,0,93,0,0.0
168,0.014,0.001,4.3e-05,2000,0.007652752,0.001007742,1.208616428,1,1,0,93,0,0.0
180,0.015,0.001,7e-05,2000,0.007611956,0.001006624,1.203508579,1,1,0,93,0,0.0
192,0.016,0.001,7.95e-05,2000,0.007597048,0.001006062,1.201822815,1,1,0,93,0,0.0
204,0.017,0.001,6.95e-05,2000,0.007627078,0.001006591,1.205938657,1,1,0,93,0,0.0
216,0.018,0.001,4.02e-05,2000,0.007683786,0.001007826,1.213416793,1,1,0,93,0,0.0
228,0.019,0.001,5.68e-06,2000,0.007728,0.001008901,1.219097671,1,1,0,93,0,0.0
240,0.02,0.001,9.85e-06,2000,0.007735555,0.001009279,1.219832715,1,1,0,93,0,0.0
252,0.021,0.001,8.19e-06,2000,0.007713576,0.001008975,1.216733711,1,1,0,93,0,0.0
264,0.022,0.001,2.46e-06,2000,0.007681276,0.001008354,1.212384295,1,1,0,93,0,0.0
276,0.023,0.001,1.9e-06,2000,0.007650515,0.001007727,1.208281042,1,1,0,93,0,0.0
288,0.024,0.001,5.14e-06,2000,0.007624947,0.001007148,1.204935405,1,1,0,93,0,0.0
300,0.025,0.001,8.6e-06,2000,0.007601501,0.001006596,1.201889262,1,1,0,93,0,0.0
312,0.026,0.001,1.45e-05,2000,0.007574972,0.001005941,1.19847421,1,1,0,93,0,0.0
324,0.027,0.001,2.36e-05,2000,0.00754071,0.001005073,1.194083705,1,1,0,93,0,0.0
336,0.028,0.001,4.61e-05,2000,0.007485207,0.001003696,1.186921021,1,1,0,93,0,0.0
348,0.029,0.001,9.57e-05,2000,0.007396664,0.001001387,1.175585682,1,1,0,93,0,0.0
360,0.03,0.001,0.000123798,2000,0.007335322,0.000999599,1.167920505,1,1,0,93,0,0.0
372,0.031,0.001,0.000122463,2000,0.007339599,0.000999391,1.168845565,1,1,0,93,0,0.0
384,0.032,0.001,9.68e-05,2000,0.007419203,0.001001251,1.179327826,1,1,0,93,0,0.0
396,0.033,0.001,5.1e-05,2000,0.007529384,0.001003926,1.193652983,1,1,0,93,0,0.0
408,0.034,0.001,1.69e-06,2000,0.007612351,0.001006044,1.204265044,1,1,0,93,0,0.0
420,0.035,0.001,1.89e-05,2000,0.007633002,0.001006862,1.206550822,1,1,0,93,0,0.0
432,0.036,0.001,1.49e-05,2000,0.007605795,0.001006564,1.202605489,1,1,0,93,0,0.0
444,0.037,0.001,4.59e-06,2000,0.00756059,0.001005692,1.196495049,1,1,0,93,0,0.0
456,0.038,0.001,3.64e-06,2000,0.007516409,0.001004743,1.190626701,1,1,0,93,0,0.0
468,0.039,0.001,1.06e-05,2000,0.00748177,0.0010039,1.186134659,1,1,0,93,0,0.0
480,0.04,0.001,1.89e-05,2000,0.007448062,0.001003036,1.181807796,1,1,0,93,0,0.0
492,0.041,0.001,3.19e-05,2000,0.00740848,0.001001972,1.176775082,1,1,0,93,0,0.0
504,0.042,0.001,5.52e-05,2000,0.007347756,0.001000277,1.169107746,1,1,0,93,0,0.0
516,0.043,0.001,9.58e-05,2000,0.007259263,0.000997926,1.157749352,1,1,0,93,0,0.0
528,0.044,0.001,0.00015754,2000,0.007139598,0.000994665,1.142397383,1,1,0,93,0,0.0
540,0.045,0.001,0.00017693,2000,0.007069721,0.000992541,1.133636829,1,1,0,93,0,0.0
552,0.046,0.001,0.000158033,2000,0.007100695,0.000993013,1.138061889,1,1,0,93,0,0.0
