ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0,0.0,0.001,0.0,2000,0.007866948,0.001012617,1.236463768,1,1,0,93,0,0.0
12,0.001,0.001,3.83e-06,2000,0.007842336,0.001012086,1.233241742,1,1,0,93,0,0.0
24,0.002,0.001,1.34e-06,2000,0.007829293,0.001011884,1.231436264,1,1,0,93,0,0.0
36,0.003,0.001,9.24e-06,2000,0.00782822,0.001011938,1.231202069,1,1,0,93,0,0.0
48,0.004,0.001,2.03e-05,2000,0.007832383,0.00101203,1.231744067,1,1,0,93,0,0.0
60,0.005,0.001,1.96e-05,2000,0.007827664,0.001011865,1.231202727,1,1,0,93,0,0.0
72,0.006,0.001,1.14e-05,2000,0.007812409,0.001011481,1.229270181,1,1,0,93,0,0.0
84,0.007,0.001,3.29e-06,2000,0.007794576,0.001011066,1.226968189,1,1,0,93,0,0.0
96,0.008,0.001,2.85e-06,2000,0.007777667,0.001010686,1.22476676,1,1,0,93,0,0.0
108,0.009,0.001,7.66e-06,2000,0.007761791,0.001010334,1.222691598,1,1,0,93,0,0.0
120,0.01,0.001,1.2e-05,2000,0.007746751,0.001009995,1.220732639,1,1,0,93,0,0.0
132,0.011,0.001,1.59e-05,2000,0.007732312,0.001009652,1.218870559,1,1,0,93,0,0.0
144,0.012,0.001,1.88e-05,2000,0.007717827,0.001009274,1.217043534,1,1,0,93,0,0.0
156,0.013,0.001,2.78e-05,2000,0.007697372,0.001008766,1.214428587,1,1,0,93,0,0.0
168,0.014,0.001,5.36e-05,2000,0.00765897,0.001007862,1.209454226,1,1,0,93,0,0.0
180,0.015,0.001,7.58e-05,2000,0.007618637,0.001006998,1.204116991,1,1,0,93,0,0.0
192,0.016,0.001,7.37e-05,2000,0.0075986,0.001006641,1.201376157,1,1,0,93,0,0.0
204,0.017,0.001,4.19e-05,2000,0.007610912,0.001007079,1.202800174,1,1,0,93,0,0.0
216,0.018,0.001,4.67e-06,2000,0.007645523,0.001007947,1.207228395,1,1,0,93,0,0.0
228,0.019,0.001,3.81e-05,2000,0.007677786,0.001008613,1.211522135,1,1,0,93,0,0.0
