Case,MAPE Wing CL,MAPE Wing CD,MAPE Canard CL,MAPE Canard CD,MAPE Rotor L1 CT,MAPE Rotor L1 CQ,MAPE Rotor L2 CT,MAPE Rotor L2 CQ,MAPE Rotor L3 CT,MAPE Rotor L3 CQ,MAPE Rotor L4 CT,MAPE Rotor L4 CQ,MAPE Rotor R1 CT,MAPE Rotor R1 CQ,MAPE Rotor R2 CT,MAPE Rotor R2 CQ,MAPE Rotor R3 CT,MAPE Rotor R3 CQ,MAPE Rotor R4 CT,MAPE Rotor R4 CQ,Epsilon Wing CL,Epsilon Wing CD,Epsilon Canard CL,Epsilon Canard CD,Epsilon Rotor L1 CT,Epsilon Rotor L1 CQ,Epsilon Rotor L2 CT,Epsilon Rotor L2 CQ,Epsilon Rotor L3 CT,Epsilon Rotor L3 CQ,Epsilon Rotor L4 CT,Epsilon Rotor L4 CQ,R2 Wing CL,R2 Wing CD,R2 Canard CL,R2 Canard CD,R2 Rotor L1 CT,R2 Rotor L1 CQ,R2 Rotor L2 CT,R2 Rotor L2 CQ,R2 Rotor L3 CT,R2 Rotor L3 CQ,R2 Rotor L4 CT,R2 Rotor L4 CQ
1,80.4409717148341,126.24908879278725,66.37445631948108,139.44219212320579,10.34800305890045,2.268820619846108,11.669423397663618,1.9095593477383859,11.000694845657536,0.9688093443878274,9.98820472550295,0.8161384614732864,14.997690205859596,2.1760208220360138,14.403190683822503,2.37199529476745,15.770776182597714,2.4497393971225216,15.77878112883048,2.927936548355209,82.96658993554293,52.29158460118549,66.53100972809827,137.29785315881819,10.369211805238486,2.2700902530102787,11.597367717478134,1.974891377558737,10.992868510506995,1.0631411580914507,10.582527334565679,1.0844741389146981,-8.556064478191509,-0.08607648221663156,-208.07438082002543,-58.22320848231376,0.30821373281449604,0.9668152383367321,-0.007805017633289113,0.9751124791016393,0.38789449717811153,0.9928809745727194,0.12407465690024477,0.9925116040670392
2,78.07915026429693,151.60034539415187,65.37820466296942,145.45345004612176,8.062617780258137,7.038715644016229,6.94619227174538,7.046868471455256,8.303764391228786,6.416060909049029,6.20658502169647,6.233558167080747,5.836274515180089,3.643263802506816,6.136306216503728,3.951560415965208,6.386909073085693,4.137240155129183,6.6814600712968435,4.472334816892922,81.9420915047889,47.18557862303591,65.62827340272666,141.10874197881878,8.976729595720432,8.457335418667554,7.907599822955473,8.387632913038177,9.225954365091054,7.525357635502555,7.308015379667894,7.243864504441835,-5.733083763167371,0.007670289265392594,-129.67759087498564,-33.05095739898535,0.05227501488963515,0.1345497465698633,0.1781519611946516,0.15160699458124516,0.28307923080842456,0.3389720289185615,0.3486817420095314,0.3787817498536238
3,27.467320177178543,54.80170081614627,54.06610536534116,58.54660838279383,3.645168291700598,1.8359428423256583,4.554536038688406,1.4195104343560268,4.495992417937378,1.2660276084921536,4.502054168130145,1.3159071412762164,5.727961869859051,3.1930869973488623,6.617261451802207,3.732485673758283,6.187934204284132,3.6070089210874463,7.669969457531363,3.8663887408046382,61.55070768776104,54.93371965958872,54.17119597188843,58.671455582569465,5.090898387124857,2.1232291591483055,5.606980563118754,1.7464044372540992,5.46046999371911,1.6303809747907996,6.086377540119868,1.5596061620877155,-0.1885432540338905,-218.99931786554467,-305.83756298782663,-270.5134426779939,0.9560905156960445,0.9876649971238709,0.9465369663202365,0.9917928950065052,0.9585354997498613,0.9930020960583037,0.9434782997381191,0.993620460823357
4,194.59672904676913,55.07557437362745,52.19930591340153,60.34327004195752,21.45683546024248,4.33953129622253,19.420482850126604,4.659035570546023,27.16879202037265,5.977827198729928,27.075781316532066,6.295013911778431,13.937676703448076,6.484248462518287,13.131283620453852,6.375966718336111,14.024095156831699,6.659761765311159,12.4289291309116,6.899491059741715,72.03352279686553,55.22294352683448,52.50818385021283,60.62686273489197,20.581777045963257,5.066484622375943,18.78652475651088,5.335479430328947,26.229867617257057,6.737696936873429,26.363357165562455,6.8926650772355655,0.064339772483744,-196.81314676649018,-102.29208955021436,-120.26847963530105,-0.5778965772212332,0.8740502174307097,-0.3512532390981369,0.8622042757419351,-1.0511241222203616,0.784335816460012,-1.3698328459734168,0.7755804652798712
5,765.0023166490406,141.07020153970484,153.12651826505206,172.62477968169995,1.1390647209399145,1.6702292573363187,2.3455566286289775,1.3228796776986056,4.5698397754335005,1.0132276836682559,10.542348406632742,0.9912344714606817,6.830435348436148,1.9394438711560609,3.6398472391693297,2.590797664427897,6.788444690415838,1.7345160714115238,6.074438381256556,2.639730493314323,187.43539193100986,140.37996367849405,152.9744510186073,172.04178910015452,1.5740109745018733,1.812776211456232,2.7110548838192026,1.426662707711682,5.567247205695742,1.2610176918118543,10.864986705881636,1.2286292136178583,-6.7192555822241555,-829.2711151918013,-4541.445454117429,-1691.3716424146635,0.8829098078210373,0.7739474907182305,0.836742692129409,0.8840705488542748,0.7452323986810604,0.9210409260447011,0.7048985721975329,0.9571876132646179
6,30.34732039249925,1.4786731582402295,1.8182455247420688,2.9186994249679765,5.070186443265293,0.7969853164887736,3.249565561293614,0.7934111366181601,6.967825546193833,1.7284716354490022,9.213132826371599,2.541793114458136,2.354560125130881,4.3980968478170155,1.7703695089015716,4.726188096538936,3.2247041183240963,5.193110651819628,4.072375758255834,5.70191674282427,35.76548917458595,1.8883193059674361,2.1498933301407845,3.605573049561419,5.091184680004031,0.9686784128266003,3.386670264350091,1.029605999458819,7.227262310379247,1.8800735491295253,9.63913493050516,2.6838598272520255,0.47911618319225824,0.7033060727788607,-0.35835085320545423,-1.2972864441353238,0.7435366097081407,0.9884379322725898,0.8982761458382781,0.9875594710030066,0.6919757707324987,0.9594054607615657,0.5811576236037619,0.9269194608407838
7,30.545683002280477,1.3832559201283374,1.6300791118674114,2.5219232937936793,15.374312796809106,1.1231016460074426,11.947796066819073,1.281026582741741,19.42629977998225,2.58426673040775,23.167622796356106,3.421233281564263,7.680772978929822,5.2200482442781215,7.8694265778920665,4.997329462739832,10.762572173658032,5.943638271689858,13.497296571451722,6.697085026926572,35.239556052333484,1.7943269218601172,1.9818229850498377,3.0471360789703272,15.252134853209867,1.3946657176673973,11.86576610869449,1.49632155451782,19.146937990909876,2.8458280243717873,22.603261722852263,3.7902714565826416,0.45154904756562586,0.6902195359877088,-0.18332729346012844,-0.9888321182360444,-2.281232926823304,0.9655241198425542,-0.744345858665695,0.962392972928503,-1.85228475628236,0.8689608926739418,-1.6285709466747598,0.8017223228776693
8,73.11001849259101,180.1983188259767,57.431250073734866,155.1027924288864,1.8362538979229324,1.4391494790708934,1.659828752800862,1.1719081757312186,2.4685110690297134,1.1571367201673297,2.971184002697359,1.073744346772628,4.547810726778327,3.2963047622912724,4.796504640995291,3.3343746233496474,5.141590402330445,3.4163348622973655,5.644917539670284,3.7841003813382836,78.55468114913336,57.43097237939404,57.80818232163932,149.13880321520566,2.1775314997974116,1.5935329806710068,2.1058083105549685,1.3253535501959135,2.945349670974112,1.4531784205957874,3.7791332714956813,1.289675840974851,-4.659257219912504,-0.2829027391335104,-86.06870892544588,-33.22354402234697,0.9421556792333584,0.9685257408217561,0.9413710736593401,0.9784322528276436,0.9263263866368032,0.9747948410941641,0.8354348831840741,0.9800674515588481
