Case,MAPE Wing CL,MAPE Wing CD,MAPE Canard CL,MAPE Canard CD,MAPE Rotor L1 CT,MAPE Rotor L1 CQ,MAPE Rotor L2 CT,MAPE Rotor L2 CQ,MAPE Rotor L3 CT,MAPE Rotor L3 CQ,MAPE Rotor L4 CT,MAPE Rotor L4 CQ,MAPE Rotor R1 CT,MAPE Rotor R1 CQ,MAPE Rotor R2 CT,MAPE Rotor R2 CQ,MAPE Rotor R3 CT,MAPE Rotor R3 CQ,MAPE Rotor R4 CT,MAPE Rotor R4 CQ,Epsilon Wing CL,Epsilon Wing CD,Epsilon Canard CL,Epsilon Canard CD,Epsilon Rotor L1 CT,Epsilon Rotor L1 CQ,Epsilon Rotor L2 CT,Epsilon Rotor L2 CQ,Epsilon Rotor L3 CT,Epsilon Rotor L3 CQ,Epsilon Rotor L4 CT,Epsilon Rotor L4 CQ,Epsilon Rotor R1 CT,Epsilon Rotor R1 CQ,Epsilon Rotor R2 CT,Epsilon Rotor R2 CQ,Epsilon Rotor R3 CT,Epsilon Rotor R3 CQ,Epsilon Rotor R4 CT,Epsilon Rotor R4 CQ,R2 Wing CL,R2 Wing CD,R2 Canard CL,R2 Canard CD,R2 Rotor L1 CT,R2 Rotor L1 CQ,R2 Rotor L2 CT,R2 Rotor L2 CQ,R2 Rotor L3 CT,R2 Rotor L3 CQ,R2 Rotor L4 CT,R2 Rotor L4 CQ
1,80.44097181083744,126.24908912289958,66.37445631887451,139.44219208268197,10.34800305890045,2.268820619846108,11.669423397663618,1.9095593477383859,11.000694845657536,0.9688093443878274,9.98820472550295,0.8161384614732864,14.997690205859596,2.1760208220360138,14.403190683822503,2.37199529476745,15.770776182597714,2.4497393971225216,15.77878112883048,2.927936548355209,82.96659003926234,52.29158465838625,66.53100972902516,137.29785312666155,10.369211805238486,2.2700902530102787,11.597367717478134,1.974891377558737,10.992868510506995,1.0631411580914507,10.582527334565679,1.0844741389146981,15.009627333872459,2.486718821919856,14.461661337241338,2.525397115994231,15.722252482608843,2.6276294483482796,15.714162620378364,3.030102875258442,-8.556064502084249,-0.08607648459270778,-208.074380825851,-58.22320845457235,0.30821373281449604,0.9668152383367321,-0.007805017633289113,0.9751124791016393,0.38789449717811153,0.9928809745727194,0.12407465690024477,0.9925116040670392
2,78.07915015499027,151.600345557615,65.37820464797936,145.4534500676445,8.062617780258137,7.038715644016229,6.94619227174538,7.046868471455256,8.303764391228786,6.416060909049029,6.20658502169647,6.233558167080747,5.836274515180089,3.643263802506816,6.136306216503728,3.951560415965208,6.386909073085693,4.137240155129183,6.6814600712968435,4.472334816892922,81.94209137019674,47.1855786726495,65.62827338821984,141.1087419864128,8.976729595720432,8.457335418667554,7.907599822955473,8.387632913038177,9.225954365091054,7.525357635502555,7.308015379667894,7.243864504441835,6.711961788152496,4.419446066020266,7.2539459669830055,4.735632267994409,7.561474620771806,5.015650767549302,8.029102285115705,5.4076270551563415,-5.733083741048816,0.007670287178609514,-129.67759081721428,-33.05095740265037,0.05227501488963515,0.1345497465698633,0.1781519611946516,0.15160699458124516,0.28307923080842456,0.3389720289185615,0.3486817420095314,0.3787817498536238
3,27.467320380439492,54.80170083726208,54.066105385786656,58.546608448022695,3.645168291700598,1.8359428423256583,4.554536038688406,1.4195104343560268,4.495992417937378,1.2660276084921536,4.502054168130145,1.3159071412762164,5.727961869859051,3.1930869973488623,6.617261451802207,3.732485673758283,6.187934204284132,3.6070089210874463,7.669969457531363,3.8663887408046382,61.55070772455441,54.93371968888734,54.17119599030541,58.67145564582847,5.090898387124857,2.1232291591483055,5.606980563118754,1.7464044372540992,5.46046999371911,1.6303809747907996,6.086377540119868,1.5596061620877155,6.994276801361593,3.4037977491970772,7.9554878707303756,3.723529244529592,7.380184966002691,3.704948358007197,8.24019754284216,3.79575572506781,-0.18854325545484896,-218.99931810021573,-305.83756319646227,-270.5134432634804,0.9560905156960445,0.9876649971238709,0.9465369663202365,0.9917928950065052,0.9585354997498613,0.9930020960583037,0.9434782997381191,0.993620460823357
4,194.5967281436479,55.075574475148684,52.19930589251571,60.343270041704486,21.45683546024248,4.33953129622253,19.420482850126604,4.659035570546023,27.16879202037265,5.977827198729928,27.075781316532066,6.295013911778431,13.937676703448076,6.484248462518287,13.131283620453852,6.375966718336111,14.024095156831699,6.659761765311159,12.4289291309116,6.899491059741715,72.0335223288083,55.22294361478779,52.50818383056848,60.626862735335926,20.581777045963257,5.066484622375943,18.78652475651088,5.335479430328947,26.229867617257057,6.737696936873429,26.363357165562455,6.8926650772355655,13.569597757057208,6.8242243065801445,13.103334335826602,6.791314097746275,13.563866001494373,6.966008378117842,12.26892105031873,7.237891601128029,0.06433978464315337,-196.81314739660215,-102.29208947292709,-120.2684796370771,-0.5778965772212332,0.8740502174307097,-0.3512532390981369,0.8622042757419351,-1.0511241222203616,0.784335816460012,-1.3698328459734168,0.7755804652798712
5,765.0023174714329,141.07020139793593,153.12651826721327,172.62477984865592,1.1390647209399145,1.6702292573363187,2.3455566286289775,1.3228796776986056,4.5698397754335005,1.0132276836682559,10.542348406632742,0.9912344714606817,6.830435348436148,1.9394438711560609,3.6398472391693297,2.590797664427897,6.788444690415838,1.7345160714115238,6.074438381256556,2.639730493314323,187.43539141284984,140.3799635365791,152.97445102004318,172.04178926802857,1.5740109745018733,1.812776211456232,2.7110548838192026,1.426662707711682,5.567247205695742,1.2610176918118543,10.864986705881636,1.2286292136178583,7.142684147409844,2.106020704051239,4.302405353763603,2.7534166343772,7.6162259005150705,2.1583638719955047,7.109097015830648,2.985465121947943,-6.71925553954481,-829.2711135131017,-4541.445454202702,-1691.371645717411,0.8829098078210373,0.7739474907182305,0.836742692129409,0.8840705488542748,0.7452323986810604,0.9210409260447011,0.7048985721975329,0.9571876132646179
6,30.347320980458488,1.4786731856292727,1.81824543724851,2.9186994249679765,5.070186443265293,0.7969853164887736,3.249565561293614,0.7934111366181601,6.967825546193833,1.7284716354490022,9.213132826371599,2.541793114458136,2.354560125130881,4.3980968478170155,1.7703695089015716,4.726188096538936,3.2247041183240963,5.193110651819628,4.072375758255834,5.70191674282427,35.76548914700749,1.8883193314418265,2.149893260858618,3.605573049561419,5.091184680004031,0.9686784128266003,3.386670264350091,1.029605999458819,7.227262310379247,1.8800735491295253,9.63913493050516,2.6838598272520255,2.569787971935368,4.5354968268807045,1.9930392532395929,4.747533044401342,3.678031480590765,5.332380769846781,4.419387843180722,5.822368517581455,0.47911618399555644,0.7033060647737559,-0.35835076565740054,-1.2972864441353238,0.7435366097081407,0.9884379322725898,0.8982761458382781,0.9875594710030066,0.6919757707324987,0.9594054607615657,0.5811576236037619,0.9269194608407838
7,30.54568296347503,1.3832560872585364,1.6300790687159963,2.5219233870034103,15.374312796809106,1.1231016460074426,11.947796066819073,1.281026582741741,19.42629977998225,2.58426673040775,23.167622796356106,3.421233281564263,7.680772978929822,5.2200482442781215,7.8694265778920665,4.997329462739832,10.762572173658032,5.943638271689858,13.497296571451722,6.697085026926572,35.23955619700523,1.79432696554683,1.9818229578214992,3.0471361173955853,15.252134853209867,1.3946657176673973,11.86576610869449,1.49632155451782,19.146937990909876,2.8458280243717873,22.603261722852263,3.7902714565826416,7.856382256381609,5.444006234781979,8.358359929953327,5.359450027424438,10.830851452648202,6.134367046208861,13.799789461390896,7.010318156183878,0.45154904306242727,0.6902195209031776,-0.18332726094457485,-0.988832168395529,-2.281232926823304,0.9655241198425542,-0.744345858665695,0.962392972928503,-1.85228475628236,0.8689608926739418,-1.6285709466747598,0.8017223228776693
8,73.11001850481992,180.19831890414991,57.43125011218461,155.1027923700314,1.8362538979229324,1.4391494790708934,1.659828752800862,1.1719081757312186,2.4685110690297134,1.1571367201673297,2.971184002697359,1.073744346772628,4.547810726778327,3.2963047622912724,4.796504640995291,3.3343746233496474,5.141590402330445,3.4163348622973655,5.644917539670284,3.7841003813382836,78.5546811915372,57.43097239327328,57.80818235456129,149.13880317388364,2.1775314997974116,1.5935329806710068,2.1058083105549685,1.3253535501959135,2.945349670974112,1.4531784205957874,3.7791332714956813,1.289675840974851,5.071941680890581,3.710912648060404,5.597388346818029,3.9043313994943367,5.834435261105086,4.019468848482334,6.695010250329555,4.485680460557437,-4.659257226022239,-0.28290273975358415,-86.06870902461779,-33.22354400338228,0.9421556792333584,0.9685257408217561,0.9413710736593401,0.9784322528276436,0.9263263866368032,0.9747948410941641,0.8354348831840741,0.9800674515588481
