r/R,c/R
0.1342,0.0533
0.1957,0.0533
0.2573,0.05304
0.3188,0.052604
0.3803,0.051956
0.4418,0.051111
0.5034,0.050382
0.5649,0.048107
0.6264,0.045769
0.6879,0.042738
0.7495,0.038889
0.811,0.034169
0.8725,0.028409
0.934,0.020809
0.9956,0.005822
