ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0.0,0.0,0.001,0.0,1800,0.007992167,0.001023115,1.243255328,1,1,0,93,0,0.0
10.8,0.001,0.001,1.04e-05,1800,0.007974375,0.001022789,1.240882895,1,1,0,93,0,0.0
21.6,0.002,0.001,1.55e-05,1800,0.007966657,0.001022543,1.23997999,1,1,0,93,0,0.0
32.4,0.003,0.001,1.14e-05,1800,0.007973029,0.001022519,1.241000488,1,1,0,93,0,0.0
43.2,0.004,0.001,6.88e-08,1800,0.007981668,0.00102259,1.242259758,1,1,0,93,0,0.0
54.0,0.005,0.001,7.2e-06,1800,0.007979253,0.001022573,1.241903554,1,1,0,93,0,0.0
64.8,0.006,0.001,6.31e-06,1800,0.007962651,0.00102236,1.239578575,1,1,0,93,0,0.0
75.6,0.007,0.001,3.12e-06,1800,0.007940239,0.001022023,1.2364968,1,1,0,93,0,0.0
86.4,0.008,0.001,6.5e-07,1800,0.007917701,0.001021642,1.233446545,1,1,0,93,0,0.0
97.2,0.009,0.001,1.13e-06,1800,0.007896349,0.001021254,1.230587956,1,1,0,93,0,0.0
108.0,0.01,0.001,2.62e-06,1800,0.007876584,0.001020875,1.227963224,1,1,0,93,0,0.0
118.8,0.011,0.001,4.2e-06,1800,0.007857413,0.001020491,1.22543615,1,1,0,93,0,0.0
129.6,0.012,0.001,5.99e-06,1800,0.00783926,0.001020108,1.223063562,1,1,0,93,0,0.0
140.4,0.013,0.001,7.39e-06,1800,0.007822119,0.001019738,1.220832464,1,1,0,93,0,0.0
151.2,0.014,0.001,1.07e-05,1800,0.007804276,0.001019375,1.218481196,1,1,0,93,0,0.0
162.0,0.015,0.001,2.68e-05,1800,0.007773493,0.0010188,1.21435968,1,1,0,93,0,0.0
172.8,0.016,0.001,5.52e-05,1800,0.007727196,0.00101782,1.208289511,1,1,0,93,0,0.0
183.6,0.017,0.001,7.64e-05,1800,0.007690004,0.001016897,1.203565455,1,1,0,93,0,0.0
194.4,0.018,0.001,7.98e-05,1800,0.007694155,0.001016696,1.204453495,1,1,0,93,0,0.0
205.2,0.019,0.001,6.34e-05,1800,0.007746521,0.001017506,1.211685334,1,1,0,93,0,0.0
216.0,0.02,0.001,3.14e-05,1800,0.007813179,0.001018684,1.220698187,1,1,0,93,0,0.0
226.8,0.021,0.001,4.17e-07,1800,0.007856356,0.001019555,1.226396319,1,1,0,93,0,0.0
237.6,0.022,0.001,1.29e-05,1800,0.007858701,0.001019778,1.226493895,1,1,0,93,0,0.0
248.4,0.023,0.001,1.06e-05,1800,0.007830059,0.001019506,1.222350025,1,1,0,93,0,0.0
259.2,0.024,0.001,4.68e-06,1800,0.007792854,0.00101893,1.217229366,1,1,0,93,0,0.0
270.0,0.025,0.001,4.89e-20,1800,0.007756605,0.001018308,1.212307357,1,1,0,93,0,0.0
280.8,0.026,0.001,2.87e-06,1800,0.007725444,0.001017716,1.208139607,1,1,0,93,0,0.0
291.6,0.027,0.001,4.95e-06,1800,0.007700312,0.001017197,1.204823846,1,1,0,93,0,0.0
302.4,0.028,0.001,8.75e-06,1800,0.007674285,0.001016646,1.201401929,1,1,0,93,0,0.0
313.2,0.029,0.001,1.45e-05,1800,0.007645911,0.001016037,1.197677556,1,1,0,93,0,0.0
324.0,0.03,0.001,2.32e-05,1800,0.007608755,0.001015203,1.192836136,1,1,0,93,0,0.0
