T,CL,CD,Lift(N),Drag(N),Vinf,alpha(eff),vVehicle_x,vVehicle_y,vVehicle_z,phi,theta,psi 
0.003,0.2068799222615794,0.004152164462579343,0.2068799222615794,0.004152164462579343,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.20499583726854662,0.004205534977457042,0.20499583726854662,0.004205534977457042,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.20320641228386008,0.004251116491217694,0.20320641228386008,0.004251116491217694,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.20166545173530284,0.004284510124229098,0.20166545173530284,0.004284510124229098,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.20052478025262413,0.004300773915582494,0.20052478025262413,0.004300773915582494,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.19991252339055676,0.004295704779797861,0.19991252339055676,0.004295704779797861,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009000000000000001,0.19997262611564937,0.004260018135258279,0.19997262611564937,0.004260018135258279,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010000000000000002,0.20080088709795432,0.004195507515609918,0.20080088709795432,0.004195507515609918,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011000000000000003,0.20222630660267116,0.0041083990630366475,0.20222630660267116,0.0041083990630366475,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012000000000000004,0.20343463105760817,0.004051295017277955,0.20343463105760817,0.004051295017277955,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013000000000000005,0.20377040228880774,0.004055737265057645,0.20377040228880774,0.004055737265057645,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014000000000000005,0.2028952263541929,0.004103361239328464,0.2028952263541929,0.004103361239328464,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
