Airfoil,Relative L2 Norm Cd (%),R² Cd
e639,3.0597061788063753,0.9803297907510005
e580,2.1499956686763237,0.9960592854713446
naca633218,3.8235103612008703,0.9861627212054035
p51droot,4.01604502594249,0.9822415082558853
rc10b3,4.096974988948974,0.9844702630484188
mh93,4.993167645556359,0.9681047506130108
s9032,4.557519688055892,0.988652122741329
s3002,2.8296485638613955,0.9917917978255584
naca65210,3.758771591351136,0.9951913748016913
e326,4.669055425462923,0.9935974564853961
fx05191,2.6015230768300133,0.9611539111448048
e221,3.987639110439755,0.9934022822809744
hq209,3.2596799746683214,0.9986314071142132
oaf095,2.853592532486372,0.9291977884673317
sd5060,3.4212808993716677,0.9966508283451881
npl9510,3.54617404266691,0.9786350956407656
rc08b3,4.266745832257231,0.9875937590692931
e343,3.7697774119900966,0.9748726731851012
ah93k131,3.4583129889047854,0.9791728371099568
fx84w127,2.7840483119284487,0.9973723114437811
s1048,4.580243268472372,0.992829471704562
fx75141,2.5077802253407206,0.9794545228243917
e793,2.2431554309200856,0.9953604256015582
e583,2.589729330171775,0.9852448296141484
e342,4.028312426041771,0.98276833367488
fx74cl5140,1.6356812930160265,0.9502671675444566
mh32,3.2020269893094997,0.9986271392937436
sa7024,2.8356385470963255,0.9958542208386512
e479,4.647738498026863,0.9847243249546392
Mean,3.4542577699241988,0.9837384276224648
