Airfoil,Relative L2 Norm Cd (%),R² Cd
fx84w127,8.611320734617923,0.9505719673968891
e479,9.914393635209025,0.46957343858736955
e343,12.594285763277455,-0.30189424941292864
e793,15.699674905695208,0.08353658080242365
rc10b3,18.33934722533299,0.7285906920601259
sd5060,16.748824846627127,0.7662983291689096
e221,6.980753126037001,0.9684085985803631
naca65210,11.140734535448358,0.9568135819935301
s3002,19.028944273737398,0.6779887998476809
e639,27.207537956743717,-3.319128258245806
rc08b3,11.824530457677765,0.9187598774006098
mh93,12.436937641909738,0.5953417758583209
fx75141,4.46605524147531,0.9868812918570679
fx05191,24.746104090430755,0.6992471649035914
mh32,3.7448621629647176,0.9935038558722404
e580,14.792822289188887,0.7223893374768948
oaf095,14.436504762925434,0.8630454811221474
p51droot,12.025796877114669,0.8148760048223465
sa7024,7.297119513591399,0.979173779318789
naca633218,23.298065850700027,-0.7261484005600534
s1048,8.116772068022197,0.9294427028837052
e326,12.634174379843877,0.35290443137579963
e342,15.146459292024414,-1.5568839809066164
s9032,35.36819242402244,0.10578221973225388
ah93k131,16.051618374154184,0.8540470739655962
npl9510,26.011897943345456,0.5781924405769694
hq209,20.89617099447558,0.7968715681193785
e583,11.478422736148952,0.6932415140326467
fx74cl5140,29.303560016830904,-0.09727699889404251
Mean,15.529030486881824,0.396005193784007
