Airfoil,Relative L2 Norm Cd (%),R² Cd
rc10b3,10.427515304474777,0.9122557506328274
mh93,18.417334814796234,0.11260899054998941
e342,17.202239843234093,-2.2980616945977177
ah93k131,13.354151591292032,0.8989799083792811
naca633218,16.492961255950778,0.13496103406042026
rc08b3,8.976670454656679,0.9531797934279963
e326,14.71920495363584,0.12169895962721833
e221,11.381067720574116,0.9160288022212536
e479,10.652721704045891,0.38762971202895447
e580,11.016797695402238,0.8460269149547812
e583,12.7764554246905,0.6199393354996716
s1048,10.365201578667861,0.8849383123287808
s9032,10.644604945686497,0.9190015575729551
e793,12.346700923442123,0.4331923904021894
fx84w127,14.0559523478194,0.8683095303466299
naca65210,13.336263433435153,0.9381146482888135
e639,25.22792824300666,-2.713477419268195
s3002,16.148570359683166,0.7680951939684504
fx75141,9.089083192812584,0.9456645777868308
e343,13.94109586796121,-0.5952268458674033
hq209,9.093073660275477,0.9615356225879987
mh32,13.819986551431446,0.9115293499772024
sa7024,9.994180216521348,0.9609337342233787
p51droot,5.204101447869148,0.9653321830981962
fx05191,22.64739899033547,0.74809735834226
npl9510,27.016640720996786,0.5449773968796046
sd5060,18.795848767492675,0.705681867212718
oaf095,7.7362745811904565,0.9606707195459423
fx74cl5140,33.99791802138283,-0.4769988272684822
Mean,14.444067055612534,0.42536616748077744
