Airfoil,Relative L2 Norm Cd (%),R² Cd
sd5060,9.385796024740003,0.9266102583191004
fx05191,23.139246144191812,0.7370371057599652
hq209,9.853167384921106,0.9548363523905481
e342,13.048699771538663,-0.8976812040669899
ah93k131,12.444215342589676,0.9122776636486134
oaf095,13.877881345493313,0.873439381189474
s9032,17.942395069462798,0.7698672635108291
rc10b3,8.96409826090326,0.9351559386402255
s1048,7.267085352560707,0.9434417768810364
e793,4.050595534427891,0.938994137043486
s3002,11.335496871588946,0.8857325036807651
e221,6.259613460850955,0.9745984999153021
fx74cl5140,21.0499201625549,0.43379146478631714
sa7024,9.073238688050903,0.9678017536149681
mh93,10.429637579887165,0.7154229373251927
naca65210,7.967129705333044,0.9779136826835143
rc08b3,6.311664884200023,0.9768532177687799
naca633218,18.413842404882136,-0.07826929201784938
e479,6.251156422250796,0.7891305426441405
p51droot,9.657302598974788,0.8806158517065618
e326,13.533053759230206,0.2575515479230712
e580,6.796757905255508,0.9413945959321454
e639,17.149688300372514,-0.7160505446588921
e583,8.240597581953853,0.8418935570417251
npl9510,21.4748968447115,0.7125035750222163
e343,7.279905841755076,0.5650091249629151
mh32,11.240576248334676,0.9414723442721732
fx84w127,12.175984407394932,0.9011806573225101
fx75141,8.712000563146054,0.9500795284999336
Mean,11.493987740053695,0.6900898007497165
