Case,Relative L2 Norm CT (%),Relative L2 Norm CQ (%),MAPE CT (%),MAPE CQ (%),R² CT,R² CQ
rotor_dataset_H26F_rpm_1614.0_vinf_9.7_0.7_92.9,14.83418611247003,4.240357009807942,16.894471518668492,4.291090541041263,0.7951514557796577,0.9557856691574146
rotor_dataset_H26F_rpm_1638.0_vinf_15.7_-0.2_93.9,10.206450625911316,2.21790429094416,12.432546961152184,2.330226915815305,0.9327313185217885,0.994207653089083
rotor_dataset_H26F_rpm_1677.0_vinf_16.6_0.9_87.9,7.238380171990015,2.496440731163069,7.2440369279514085,2.569120727285166,0.9165166926083522,0.9928221077622356
rotor_dataset_H26F_rpm_1688.0_vinf_12.0_0.2_93.5,10.690982538699377,1.8534526957380733,12.723852647727135,1.6027612733229526,0.9235897692180621,0.9939396511861215
rotor_dataset_H26F_rpm_1790.0_vinf_17.1_0.1_94.4,10.866143122660722,2.395709900654645,11.842310109910073,2.125051849280318,0.8489732335987972,0.991728751905713
rotor_dataset_H26F_rpm_1797.0_vinf_16.6_-0.9_91.6,17.046291789821158,6.546940639703794,16.149043551073284,5.369157945814889,0.5660519911126833,0.9328473864931577
rotor_dataset_H26F_rpm_1835.0_vinf_8.7_1.6_91.5,20.45542733462521,4.175871262790865,20.045682405880836,3.5189785308984445,0.08090030937985304,0.8926239546655891
rotor_dataset_H26F_rpm_1854.0_vinf_18.4_1.6_89.0,10.351086618816112,2.818910084846946,11.62470013875743,2.600099258421032,0.8681298867995756,0.9894906382633039
rotor_dataset_H26F_rpm_1881.0_vinf_10.0_0.2_92.5,21.283215119031425,1.7861757974271908,24.752798434601395,1.5324652445208606,0.5413627113569972,0.9893930178450592
rotor_dataset_H26F_rpm_1930.0_vinf_6.1_-1.5_87.3,14.958859806285252,2.9894231603942627,11.347771608844525,1.9908961134890397,0.3458601259738058,0.8663130179066129
Mean,13.793102324031063,3.152118557347095,14.505721430456674,2.7929848399889274,0.6819267494349572,0.9599151848274289
