ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0.0,0.0,0.001,0.0,1600,0.007589019,0.00104194,1.159212448,1,1,0,93,0,2.0
9.6,0.001,0.001,8.12e-06,1600,0.007573064,0.00104157,1.157185772,1,1,0,93,0,2.0
19.2,0.002,0.001,0.000198993,1600,0.007571464,0.001041969,1.156499133,1,1,0,93,0,2.0
28.8,0.003,0.001,0.000350035,1600,0.007592943,0.001043869,1.157668975,1,1,0,93,0,2.0
38.4,0.004,0.001,0.000445578,1600,0.007626765,0.001046918,1.159439159,1,1,0,93,0,2.0
48.0,0.005,0.001,0.000481588,1600,0.007660879,0.00105065,1.160487871,1,1,0,93,0,2.0
57.6,0.006,0.001,0.00045924,1600,0.007684447,0.001054491,1.159818203,1,1,0,93,0,2.0
67.2,0.007,0.001,0.000378184,1600,0.007698501,0.001058021,1.158062753,1,1,0,93,0,2.0
76.8,0.008,0.001,0.000243982,1600,0.007705789,0.001060898,1.156014948,1,1,0,93,0,2.0
86.4,0.009,0.001,7.09e-05,1600,0.007706155,0.001062836,1.153961815,1,1,0,93,0,2.0
96.0,0.01,0.001,0.000121114,1600,0.007698251,0.001063612,1.151937934,1,1,0,93,0,2.0
105.6,0.011,0.001,0.000310301,1600,0.007680291,0.00106309,1.149814889,1,1,0,93,0,2.0
115.2,0.012,0.001,0.000475107,1600,0.007652219,0.001061268,1.147578127,1,1,0,93,0,2.0
124.8,0.013,0.001,0.000596843,1600,0.007615004,0.001058308,1.145192064,1,1,0,93,0,2.0
134.4,0.014,0.001,0.000661799,1600,0.007571952,0.001054528,1.142799237,1,1,0,93,0,2.0
144.0,0.015,0.001,0.000663075,1600,0.007527347,0.001050343,1.140593595,1,1,0,93,0,2.0
153.6,0.016,0.001,0.00059687,1600,0.007481328,0.001046132,1.138183444,1,1,0,93,0,2.0
163.2,0.017,0.001,0.000462482,1600,0.007425676,0.001042041,1.134151918,1,1,0,93,0,2.0
172.8,0.018,0.001,0.000279457,1600,0.007366489,0.001038365,1.129095688,1,1,0,93,0,2.0
182.4,0.019,0.001,7.83e-05,1600,0.00732065,0.00103579,1.124858402,1,1,0,93,0,2.0
192.0,0.02,0.001,0.000114683,1600,0.007306547,0.001034941,1.123612621,1,1,0,93,0,2.0
201.6,0.021,0.001,0.000277907,1600,0.007327686,0.001036028,1.125681353,1,1,0,93,0,2.0
211.2,0.022,0.001,0.00039178,1600,0.007374926,0.001038709,1.130013727,1,1,0,93,0,2.0
220.8,0.023,0.001,0.00044647,1600,0.007438246,0.001042625,1.135436004,1,1,0,93,0,2.0
230.4,0.024,0.001,0.000446318,1600,0.007503875,0.001047207,1.140441866,1,1,0,93,0,2.0
240.0,0.025,0.001,0.000401577,1600,0.00755201,0.001051663,1.142894151,1,1,0,93,0,2.0
249.6,0.026,0.001,0.000314989,1600,0.007574669,0.001055417,1.142245771,1,1,0,93,0,2.0
259.2,0.027,0.001,0.000185971,1600,0.007578887,0.001058239,1.139834882,1,1,0,93,0,2.0
268.8,0.028,0.001,2.22e-05,1600,0.007571329,0.00105989,1.136923789,1,1,0,93,0,2.0
278.4,0.029,0.001,0.000160402,1600,0.007556381,0.001060304,1.134236235,1,1,0,93,0,2.0
288.0,0.03,0.001,0.000340956,1600,0.007531346,0.001059394,1.13144968,1,1,0,93,0,2.0
297.6,0.031,0.001,0.000496884,1600,0.007494448,0.001057173,1.128271485,1,1,0,93,0,2.0
307.2,0.032,0.001,0.000606668,1600,0.007447356,0.001053878,1.124687651,1,1,0,93,0,2.0
316.8,0.033,0.001,0.000651943,1600,0.007384473,0.001049622,1.119712609,1,1,0,93,0,2.0
326.4,0.034,0.001,0.000620987,1600,0.007306371,0.001044716,1.113072552,1,1,0,93,0,2.0
336.0,0.035,0.001,0.000519776,1600,0.007225497,0.001039719,1.106042775,1,1,0,93,0,2.0
345.6,0.036,0.001,0.000360106,1600,0.007150938,0.00103517,1.099439925,1,1,0,93,0,2.0
355.2,0.037,0.001,0.000174691,1600,0.007096022,0.001031634,1.094736219,1,1,0,93,0,2.0
364.8,0.038,0.001,1.33e-05,1600,0.007067785,0.001029584,1.092551044,1,1,0,93,0,2.0
374.4,0.039,0.001,0.000186479,1600,0.007070195,0.001029318,1.093206193,1,1,0,93,0,2.0
384.0,0.04,0.001,0.000327974,1600,0.007096886,0.001030908,1.095640414,1,1,0,93,0,2.0
393.6,0.041,0.001,0.000416076,1600,0.00714486,0.001033879,1.099876654,1,1,0,93,0,2.0
403.2,0.042,0.001,0.000442356,1600,0.007213279,0.00103808,1.105915725,1,1,0,93,0,2.0
412.8,0.043,0.001,0.000415156,1600,0.007297047,0.001043148,1.113323571,1,1,0,93,0,2.0
422.4,0.044,0.001,0.000350759,1600,0.007376178,0.001048237,1.119933426,1,1,0,93,0,2.0
432.0,0.045,0.001,0.000256947,1600,0.007434393,0.001052658,1.124031397,1,1,0,93,0,2.0
441.6,0.046,0.001,0.000132532,1600,0.007464908,0.001055893,1.125186547,1,1,0,93,0,2.0
451.2,0.047,0.001,2.04e-05,1600,0.007471925,0.001057668,1.124354185,1,1,0,93,0,2.0
460.8,0.048,0.001,0.000191722,1600,0.007457053,0.00105789,1.121881164,1,1,0,93,0,2.0
470.4,0.049,0.001,0.000361681,1600,0.007418026,0.00105645,1.117530966,1,1,0,93,0,2.0
480.0,0.05,0.001,0.000505624,1600,0.007355513,0.001053478,1.111239403,1,1,0,93,0,2.0
489.6,0.051,0.001,0.000594953,1600,0.007264237,0.001049016,1.102118203,1,1,0,93,0,2.0
499.2,0.052,0.001,0.000612927,1600,0.007165888,0.001043858,1.092568142,1,1,0,93,0,2.0
508.8,0.053,0.001,0.000559607,1600,0.007077412,0.001038725,1.08441093,1,1,0,93,0,2.0
518.4,0.054,0.001,0.000444385,1600,0.00700517,0.00103402,1.078226492,1,1,0,93,0,2.0
528.0,0.055,0.001,0.00028484,1600,0.006948461,0.001030017,1.073653619,1,1,0,93,0,2.0
537.6,0.056,0.001,0.000105887,1600,0.006908071,0.001027036,1.070510928,1,1,0,93,0,2.0
547.2,0.057,0.001,7.35e-05,1600,0.006884701,0.001025304,1.068692434,1,1,0,93,0,2.0
556.8,0.058,0.001,0.000235645,1600,0.006880668,0.001025256,1.068115642,1,1,0,93,0,2.0
566.4,0.059,0.001,0.000361554,1600,0.006889749,0.001026632,1.068091933,1,1,0,93,0,2.0
576.0,0.06,0.001,0.000427483,1600,0.006918759,0.001029339,1.069768744,1,1,0,93,0,2.0
585.6,0.061,0.001,0.000431939,1600,0.006973842,0.001033372,1.074077397,1,1,0,93,0,2.0
595.2,0.062,0.001,0.00038641,1600,0.007057393,0.001038429,1.081651912,1,1,0,93,0,2.0
604.8,0.063,0.001,0.000309909,1600,0.007157402,0.001043941,1.091188252,1,1,0,93,0,2.0
614.4,0.064,0.001,0.000211058,1600,0.007253386,0.001048956,1.100534923,1,1,0,93,0,2.0
624.0,0.065,0.001,8.9e-05,1600,0.007331961,0.001052964,1.108221908,1,1,0,93,0,2.0
633.6,0.066,0.001,5.75e-05,1600,0.007372802,0.001055234,1.111997771,1,1,0,93,0,2.0
643.2,0.067,0.001,0.000218665,1600,0.007372303,0.001055505,1.111637559,1,1,0,93,0,2.0
652.8,0.068,0.001,0.0003743,1600,0.007323596,0.001053601,1.106288419,1,1,0,93,0,2.0
662.4,0.069,0.001,0.00049824,1600,0.007233587,0.001049802,1.096645405,1,1,0,93,0,2.0
672.0,0.07,0.001,0.000567216,1600,0.007114469,0.001044599,1.083959687,1,1,0,93,0,2.0
681.6,0.071,0.001,0.000568356,1600,0.006997531,0.001038968,1.071921115,1,1,0,93,0,2.0
691.2,0.072,0.001,0.000503502,1600,0.006908281,0.001033823,1.06351541,1,1,0,93,0,2.0
700.8,0.073,0.001,0.000381267,1600,0.006840098,0.001029247,1.057700327,1,1,0,93,0,2.0
710.4,0.074,0.001,0.000220085,1600,0.006784098,0.001025302,1.053077343,1,1,0,93,0,2.0
