Alpha,Cl,Cd,Cm
-20.0,-0.6732092019610146,0.25515909294090094,0.06501385397645386
-19.0,-0.6310362016166603,0.24235261814317413,0.05556892036049949
-18.0,-0.588368374991203,0.22972682920357398,0.0464211600185501
-17.0,-0.5453606440737234,0.21729706552143707,0.037584018108994574
-16.0,-0.5021785613252551,0.2050733794829919,0.029073090109099534
-15.0,-0.45901047574283715,0.19306496779866708,0.020902908205360664
-14.0,-0.4161094004961144,0.18128355742496047,0.013091349033574212
-13.0,-0.37375439767120794,0.16974069071512402,0.00565754280852981
-12.0,-0.3322718894429872,0.15844036059707647,-0.0013821165676256087
-11.0,-0.2920416369734783,0.1473936892826426,-0.008019589520129919
-10.0,-0.2535383018608619,0.13659448381211767,-0.01424835121562909
-9.0,-0.21743881083675512,0.12603596060004857,-0.020059269196963932
-8.0,-0.18448561161895508,0.11573583217515258,-0.025477835144765024
-7.0,-0.15588914620979186,0.10572970150083114,-0.030515247267963813
-6.0,-0.1338059550613327,0.09606876928014225,-0.03512360632016519
-5.0,-0.12219609926888335,0.08673685364124877,-0.03905130956712136
-4.0,-0.12931809424821897,0.07766320158044776,-0.041309809493583156
-3.0,-0.16243274747635297,0.06925004657355656,-0.04004657711512567
-2.0,-0.11237619911179057,0.06620312226117704,-0.04273756144033917
-1.0,-0.03716788362688174,0.06616343620578297,-0.04171837578328961
0.0,0.03556490815225781,0.06722991954160318,-0.0395873100394466
1.0,0.10615301333222187,0.06924110215273545,-0.03745281549711624
2.0,0.17461579065547825,0.07215935886831308,-0.03569385742293442
3.0,0.24017787064417595,0.07596663434782532,-0.03442345557412579
4.0,0.3024174698371288,0.08069596472708096,-0.033743988247637774
5.0,0.36099413226338956,0.0863956592208462,-0.03373978872314413
6.0,0.4156442537877062,0.09311126975136703,-0.03447593332558105
7.0,0.4662920522572453,0.1008730377841128,-0.035999748790067586
8.0,0.5131954190104827,0.10971664779850109,-0.03840670598812391
9.0,0.5565215699107937,0.119630104858932,-0.04171777604738835
10.0,0.5966028825935978,0.13053828070593915,-0.04599362140739488
11.0,0.6340673923879228,0.14235153651664179,-0.05127671089730935
12.0,0.6696287443808132,0.15496396008931124,-0.05759354066806106
13.0,0.7040993259898213,0.16827730962320017,-0.06490522147246773
14.0,0.7382786271118467,0.1821678274641686,-0.07313368171653374
15.0,0.7728598397825982,0.19654407677474556,-0.08210384751185483
16.0,0.8083025536374658,0.21129014888395914,-0.09162428409905374
17.0,0.8448341975318397,0.22635012647051495,-0.10151906349468703
18.0,0.8823798913820149,0.24165797357861935,-0.11164511267341008
19.0,0.9206601580968324,0.25716235992899844,-0.12191764992059856
20.0,0.9593276710155252,0.2728687437466228,-0.13229695160231814
