Case,Relative L2 Norm Cl (%),Relative L2 Norm Cd (%),MAPE Cl (%),MAPE Cd (%),R² Cl,R² Cd
wing_dataset_ca_aoa_10.8_vinf_7.5,1.904732243099453,6.19374614134559,1.5851194895862162,5.329784619391131,0.9334509412491485,-0.08496829455383592
wing_dataset_ca_aoa_13.9_vinf_13.8,8.513240248361441,11.533058618562082,8.513763908638259,11.168089680719381,-0.30219608221807337,-3.3545004969420713
wing_dataset_ca_aoa_2.0_vinf_14.3,9.323443522954689,18.70734513987859,6.624431385900239,18.50806680925902,0.12505982550885375,-9.924384441651913
wing_dataset_ca_aoa_3.8_vinf_15.1,3.189657702749597,17.334374425077225,1.3530150244677523,17.28616137052324,0.8961160925229061,-3.0692954809446062
wing_dataset_ca_aoa_5.9_vinf_11.7,2.1752143810670153,9.566576845099053,1.0062370804927578,8.382319250395891,0.9362148252841986,0.22244411396349717
wing_dataset_ca_aoa_7.3_vinf_15.9,2.27104367690853,7.362854976036731,1.4258525554810866,5.602838765344209,0.8985618574619703,0.4166071614293816
wing_dataset_ca_aoa_9.0_vinf_3.5,3.631849839273432,8.747415937890846,3.570670398077506,7.430962832269728,0.8355382660372936,-0.025969747363590034
wing_dataset_mw_aoa_11.1_vinf_6.7,3.7125585317912733,4.966713940108121,4.009431488930655,5.165444694872167,0.9641982429179339,0.8799623368228203
wing_dataset_mw_aoa_11.3_vinf_5.7,2.7802950358297283,5.904555421300504,2.8257205097869167,6.046227443833087,0.9769904879825925,0.815943945755714
wing_dataset_mw_aoa_12.2_vinf_3.7,2.9472275212691286,2.321917550769457,2.6712824547498872,2.0570318924077218,0.9735008683310996,0.9654978661148478
wing_dataset_mw_aoa_13.0_vinf_6.4,4.221569377205879,2.8245472233915994,4.375281091869618,1.902566042546798,0.9297274312990179,0.9237686766421573
wing_dataset_mw_aoa_14.2_vinf_8.5,4.899875764391001,6.2470591653189675,4.632285124533404,5.807763611703919,0.9071277203650143,0.7308694490046326
wing_dataset_mw_aoa_14.9_vinf_6.1,11.790378595124086,16.674736071860135,18.60016841648255,17.076448134110002,0.7798540296507734,0.32147168006248583
wing_dataset_mw_aoa_8.1_vinf_22.6,4.184736441143917,5.576316614590103,4.180023384341699,5.189870260798992,0.9339850268856802,0.5865915864073458
wing_dataset_mw_aoa_8.4_vinf_3.3,4.1084893566613045,9.689291598765774,4.326484239286846,9.289812322807434,0.9454035408618243,-0.03883023925355911
wing_dataset_mw_aoa_8.7_vinf_14.0,7.469704445939137,19.716375874216727,10.137551729133836,20.714549221978995,0.8943084068790909,-0.45561071791960983
Mean,4.820251042735601,9.58543034651322,4.9898323926099515,9.184871059560107,0.7892400925637078,-0.693150162651644
