Case,Relative L2 Norm Cl (%),Relative L2 Norm Cd (%),MAPE Cl (%),MAPE Cd (%),R² Cl,R² Cd
wing_dataset_ca_aoa_10.8_vinf_7.5,1.3135071753029262,2.0853025281198345,1.2663220522982586,2.0558868379427455,0.9683525334621876,0.8770160651312349
wing_dataset_ca_aoa_13.9_vinf_13.8,4.477076606366476,1.405779818834628,4.524773632652234,1.0199621036633462,0.6398564374153065,0.9353030280866621
wing_dataset_ca_aoa_2.0_vinf_14.3,2.8863224723340077,4.461854916621279,2.6679306450186893,4.267414727651722,0.9161476243976098,0.37855378614220003
wing_dataset_ca_aoa_3.8_vinf_15.1,1.4971459432008132,2.9558961630548866,1.4424833129832697,2.790775410487664,0.9771130250790204,0.881673715590929
wing_dataset_ca_aoa_5.9_vinf_11.7,1.6830677270107397,5.302476948503239,1.6682886451964567,5.2429667944321725,0.9618127132277344,0.7611220502827275
wing_dataset_ca_aoa_7.3_vinf_15.9,0.862057921406325,2.889057613852682,0.5696749827938394,2.874883947212734,0.9853841792352652,0.9101783546478853
wing_dataset_ca_aoa_9.0_vinf_3.5,1.027957802763112,2.772196531467952,1.0102895813380364,2.7388076722055064,0.986824725524005,0.8969559235101283
wing_dataset_mw_aoa_11.1_vinf_6.7,1.435617013757045,1.4253312745446012,1.5796209492683324,1.400897556633901,0.9946465356387276,0.9901142217025588
wing_dataset_mw_aoa_11.3_vinf_5.7,2.3228058785196124,1.5897803893956355,2.4416036099218132,1.505832770090076,0.9839397806452369,0.9866571079694608
wing_dataset_mw_aoa_12.2_vinf_3.7,1.43229731416417,1.2465630858889494,1.458600114397498,1.2011510278509248,0.9937414940394291,0.9900555471765848
wing_dataset_mw_aoa_13.0_vinf_6.4,6.294699175750244,1.5255399097045297,6.300222441251431,0.9906820096889224,0.8437615481278589,0.9777626553876673
wing_dataset_mw_aoa_14.2_vinf_8.5,11.304982464419911,4.318902502678577,10.908670881137349,4.2780827017189464,0.505625849587457,0.8713651742408739
wing_dataset_mw_aoa_14.9_vinf_6.1,9.277209834876615,10.13041197143401,13.595118396306544,11.131207380658683,0.8637018383274206,0.7495596767980616
wing_dataset_mw_aoa_8.1_vinf_22.6,1.9270830489191773,1.8841990305200031,1.84578255340422,1.7973488168124978,0.9860006751444826,0.9528004330201284
wing_dataset_mw_aoa_8.4_vinf_3.3,2.991304670182032,1.3756015816694558,3.1058782578380133,1.1630428263157955,0.9710584728999765,0.9790614856642108
wing_dataset_mw_aoa_8.7_vinf_14.0,5.154409285963567,4.937411596122038,6.682350145854772,5.211653170106248,0.9496741163896326,0.908717036256194
Mean,3.4929715209335486,3.144144116400769,3.8167256376037972,3.104412234591993,0.9079775968213344,0.8779310163504692
