ref age (deg),T,DT,PitchingMoment_1,RPM_1,CT_1,CQ_1,eta_1,J,AOA,Pitch (blade),Tilt,Yaw,v_inf
0,0,0.001554726,0,1072,0.011711857,0.001217544,0.00153095,0.001,7.9,1.1,91.5,0,5.9
10,0.001554726,0.001554726,1.69E-06,1072,0.011642223,0.001218594,0.001520537,0.001,7.9,1.1,91.5,0,5.9
20,0.003109453,0.001554726,0.000392352,1072,0.011411579,0.001235475,0.001470049,0.001,7.9,1.1,91.5,0,5.9
30,0.004664179,0.001554726,0.000716642,1072,0.011341114,0.001279852,0.001410315,0.001,7.9,1.1,91.5,0,5.9
40,0.006218905,0.001554726,0.000937708,1072,0.01138204,0.001346854,0.001344992,0.001,7.9,1.1,91.5,0,5.9
50,0.007773632,0.001554726,0.001024227,1072,0.011493685,0.001427682,0.001281292,0.001,7.9,1.1,91.5,0,5.9
60,0.009328358,0.001554726,0.000966079,1072,0.011641068,0.001512372,0.001225052,0.001,7.9,1.1,91.5,0,5.9
70,0.010883085,0.001554726,0.000762966,1072,0.011885157,0.001591341,0.001188671,0.001,7.9,1.1,91.5,0,5.9
80,0.012437811,0.001554726,0.000429729,1072,0.01218021,0.001653148,0.001172636,0.001,7.9,1.1,91.5,0,5.9
90,0.013992537,0.001554726,1.62E-19,1072,0.012475051,0.001691718,0.001173639,0.001,7.9,1.1,91.5,0,5.9
100,0.015547264,0.001554726,0.000476824,1072,0.012738183,0.001705169,0.001188941,0.001,7.9,1.1,91.5,0,5.9
110,0.01710199,0.001554726,0.000939951,1072,0.012984838,0.001695306,0.001219014,0.001,7.9,1.1,91.5,0,5.9
120,0.018656716,0.001554726,0.001330187,1072,0.013157776,0.001659015,0.00126227,0.001,7.9,1.1,91.5,0,5.9
130,0.020211443,0.001554726,0.001598645,1072,0.013268515,0.001599595,0.001320177,0.001,7.9,1.1,91.5,0,5.9
140,0.021766169,0.001554726,0.001709531,1072,0.013292839,0.001520024,0.001391834,0.001,7.9,1.1,91.5,0,5.9
150,0.023320896,0.001554726,0.001631869,1072,0.013304764,0.001434612,0.001476022,0.001,7.9,1.1,91.5,0,5.9
160,0.024875622,0.001554726,0.001373778,1072,0.013218785,0.001347994,0.001560715,0.001,7.9,1.1,91.5,0,5.9
170,0.026430348,0.001554726,0.00095193,1072,0.013165325,0.001277033,0.001640777,0.001,7.9,1.1,91.5,0,5.9
180,0.027985075,0.001554726,0.000421817,1072,0.013201068,0.001230767,0.001707078,0.001,7.9,1.1,91.5,0,5.9
190,0.029539801,0.001554726,0.000117007,1072,0.01325078,0.001215648,0.001734817,0.001,7.9,1.1,91.5,0,5.9
200,0.031094527,0.001554726,0.000536414,1072,0.013098558,0.001235729,0.001687021,0.001,7.9,1.1,91.5,0,5.9
210,0.032649254,0.001554726,0.000773046,1072,0.012705593,0.001284389,0.001574412,0.001,7.9,1.1,91.5,0,5.9
220,0.03420398,0.001554726,0.000916081,1072,0.012401983,0.001349409,0.001462741,0.001,7.9,1.1,91.5,0,5.9
230,0.035758706,0.001554726,0.001014796,1072,0.012504659,0.001428067,0.001393616,0.001,7.9,1.1,91.5,0,5.9
240,0.037313433,0.001554726,0.000996414,1072,0.012769797,0.001512947,0.001343323,0.001,7.9,1.1,91.5,0,5.9
250,0.038868159,0.001554726,0.000799397,1072,0.013016306,0.001587412,0.001305023,0.001,7.9,1.1,91.5,0,5.9
260,0.040422886,0.001554726,0.000447557,1072,0.013140364,0.001644681,0.001271586,0.001,7.9,1.1,91.5,0,5.9
270,0.041977612,0.001554726,2.58E-18,1072,0.013164032,0.001680554,0.001246685,0.001,7.9,1.1,91.5,0,5.9
280,0.043532338,0.001554726,0.000480612,1072,0.013183,0.001692485,0.00123968,0.001,7.9,1.1,91.5,0,5.9
290,0.045087065,0.001554726,0.000931024,1072,0.013216737,0.00168168,0.001250838,0.001,7.9,1.1,91.5,0,5.9
300,0.046641791,0.001554726,0.00129717,1072,0.013276111,0.001647307,0.001282675,0.001,7.9,1.1,91.5,0,5.9
310,0.048196517,0.001554726,0.001533491,1072,0.013347852,0.001589241,0.001336724,0.001,7.9,1.1,91.5,0,5.9
320,0.049751244,0.001554726,0.001602396,1072,0.013469189,0.001512541,0.001417276,0.001,7.9,1.1,91.5,0,5.9
330,0.05130597,0.001554726,0.00147758,1072,0.013582018,0.001426541,0.001515305,0.001,7.9,1.1,91.5,0,5.9
340,0.052860697,0.001554726,0.001154904,1072,0.013724562,0.001340034,0.001630057,0.001,7.9,1.1,91.5,0,5.9
350,0.054415423,0.001554726,0.000660601,1072,0.013978536,0.00127181,0.001749281,0.001,7.9,1.1,91.5,0,5.9
360,0.055970149,0.001554726,0,1072,0.014332837,0.001230857,0.001853295,0.001,7.9,1.1,91.5,0,5.9
370,0.057524876,0.001554726,0.000490703,1072,0.014546427,0.001227686,0.001885772,0.001,7.9,1.1,91.5,0,5.9
380,0.059079602,0.001554726,0.00084193,1072,0.014280088,0.001262116,0.001800743,0.001,7.9,1.1,91.5,0,5.9
390,0.060634328,0.001554726,0.000923868,1072,0.013357485,0.001317942,0.001613053,0.001,7.9,1.1,91.5,0,5.9
400,0.062189055,0.001554726,0.000870122,1072,0.012134069,0.001379879,0.001399541,0.001,7.9,1.1,91.5,0,5.9
410,0.063743781,0.001554726,0.000821272,1072,0.011203513,0.00144602,0.001233105,0.001,7.9,1.1,91.5,0,5.9
420,0.065298507,0.001554726,0.000768051,1072,0.010736178,0.001513897,0.001128687,0.001,7.9,1.1,91.5,0,5.9
430,0.066853234,0.001554726,0.000624783,1072,0.010720145,0.001582706,0.001078004,0.001,7.9,1.1,91.5,0,5.9
440,0.06840796,0.001554726,0.000359745,1072,0.010831554,0.001636052,0.001053692,0.001,7.9,1.1,91.5,0,5.9
